Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2707,0,0,2%,7,7,7,1,0,3,8,2,13,12,12,0,0,0,0,0,0,0,19,2,-14,-700,32,80,0,0,75%,947,24,2%,261,27%,349,10%,14%
BHK,4846,0,0,4%,14,14,14,1,1,5,17,3,25,23,23,0,3,2100,0,0,0,0,73,10,-8,-400,45,112,41,27470,75%,2131,198,9%,465,21%,439,10%,14%
COA,22839,0,0,5%,9,31,11,0,0,27,27,14,68,70,58,0,48,62400,200,100,0,0,0,0,310,15500,23,57,305,204350,0%,12651,1969,15%,1164,9%,634,10%,14%
DOO,939,0,0,3%,7,7,7,1,0,1,4,0,5,8,8,0,6,3300,0,0,0,0,0,0,-10,-500,0,0,0,0,75%,101,4,4%,80,79%,107,10%,14%
DTP,950,0,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,320,-0,-0%,114,35%,337,10%,14%
FDN,1072,0,0,4%,6,7,6,1,0,4,8,4,16,16,16,0,4,2200,0,0,0,0,0,0,-16,-800,0,0,0,0,75%,501,3,0%,96,19%,467,10%,14%
HNT,3102,0,0,2%,4,7,4,1,0,1,5,3,9,12,12,0,6,3300,0,0,0,0,0,0,24,1200,0,0,0,0,25%,1455,8,0%,353,24%,469,10%,14%
HYP,333,0,0,3%,2,2,2,1,0,3,5,0,8,8,8,0,0,0,16,8,0,0,0,0,-10,-500,0,0,0,0,25%,42,0,1%,37,89%,126,10%,14%
INH,1624,0,0,4%,3,6,3,1,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,558,-0,-0%,201,36%,343,10%,14%
KST,285,0,0,2%,2,2,2,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,21,-0,-4%,21,98%,75,10%,14%
LLD,6498,0,0,4%,6,6,6,1,0,4,11,2,17,16,16,0,0,0,20,10,0,0,0,0,6,300,0,0,0,0,50%,2531,4,0%,567,22%,389,10%,14%
MLB,74,0,0,3%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,2,1340,75%,8,1,20%,6,78%,109,10%,14%
MTR,1753,0,0,2%,5,8,5,1,0,4,7,3,14,14,14,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,820,-1,-0%,177,21%,467,10%,14%
NLL,252,0,0,4%,2,16,2,1,0,9,7,0,16,16,11,0,0,0,7,3,0,0,0,0,4,200,-2,-5,14,9380,25%,42,20,47%,20,49%,166,10%,14%
OAK,58811,0,0,9%,39,39,37,0,0,32,173,17,222,200,200,0,67,46900,92,46,0,0,96,14,688,34400,248,620,192,128640,25%,45728,10564,23%,2512,5%,759,10%,14%
PLK,361,0,0,3%,2,4,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,8,1,-8,-400,10,25,0,0,25%,49,5,11%,39,79%,137,10%,14%
SHT,661,0,0,2%,4,7,4,1,0,5,9,0,14,13,13,0,9,6300,0,0,0,0,0,0,-16,-800,0,0,0,0,75%,75,13,18%,53,70%,113,10%,14%
TAM,14580,0,0,3%,24,24,24,1,0,7,38,2,47,46,46,0,0,0,0,0,0,0,99,14,-38,-1900,0,0,0,0,25%,5069,96,1%,366,7%,347,10%,14%
TPD,570,0,0,5%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,12,1,-8,-400,20,50,6,4020,25%,88,16,18%,60,68%,154,10%,14%
TPP,14620,0,0,4%,28,28,28,1,1,9,16,2,27,21,19,0,0,0,56,28,0,0,0,0,18,900,0,0,0,0,75%,2806,14,0%,1341,47%,191,10%,14%
TRH,9252,0,0,7%,12,29,12,1,1,5,12,0,17,19,19,0,8,5600,0,0,0,0,45,6,77,3850,80,200,5,3350,0%,2735,131,4%,699,25%,295,10%,14%
TRI,2862,0,0,2%,5,7,5,1,0,3,6,0,9,8,8,0,0,0,0,0,0,0,47,7,-10,-500,60,150,0,0,25%,605,43,7%,335,55%,211,10%,14%
UEK,11576,0,0,3%,11,21,11,1,0,4,9,5,18,18,18,0,0,0,0,0,0,0,0,0,-2,-100,1,2,12,8040,0%,3919,22,0%,852,21%,338,10%,14%
WGK,460,0,0,2%,4,4,4,1,0,4,9,0,13,12,12,0,0,0,0,0,0,0,0,0,-16,-800,78,195,0,0,75%,106,47,44%,48,45%,230,10%,14%
AAV,111,0,0,0%,1,1,1,0,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,25%,34,-0,-1%,13,40%,309,10%,14%
