Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,3429,0,0,2%,7,7,7,1,0,5,10,2,17,17,17,0,0,0,0,0,0,0,23,3,-20,-1000,39,97,0,0,0%,1445,31,2%,348,24%,421,34%,45%
BHK,6230,0,0,4%,14,14,14,1,1,18,9,3,30,32,32,0,5,6500,0,0,0,0,101,15,5,250,67,167,81,54270,0%,2605,226,8%,630,24%,418,34%,45%
DOO,1180,0,0,3%,7,7,7,1,0,1,5,0,6,9,9,0,7,9100,0,0,0,0,0,0,-12,-600,0,0,11,7370,0%,173,29,16%,106,61%,146,34%,45%
DTP,1216,0,0,4%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,509,11,2%,154,30%,419,34%,45%
FDN,1367,0,0,5%,6,7,6,1,0,4,10,4,18,18,18,0,4,5200,0,0,0,0,0,0,-20,-1000,0,0,11,7370,0%,810,29,3%,129,15%,592,34%,45%
HNT,3981,0,0,2%,4,7,4,1,0,1,5,3,9,12,12,0,8,10400,0,0,0,0,0,0,32,1600,0,0,0,0,25%,2048,23,1%,476,23%,514,34%,45%
HYP,419,0,0,3%,2,2,2,1,0,4,6,0,10,10,10,0,0,0,22,11,0,0,0,0,-12,-600,0,0,11,7370,0%,78,15,19%,51,66%,187,34%,45%
INH,2126,0,0,4%,3,6,3,1,1,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,878,11,1%,276,31%,413,34%,45%
KST,358,0,0,2%,2,2,2,1,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,108,-1,-1%,28,25%,301,34%,45%
LLD,8415,0,0,5%,6,6,6,1,0,17,22,2,41,41,41,0,0,0,35,17,0,0,0,0,2,100,0,0,0,0,0%,4911,8,0%,854,17%,583,34%,45%
MLB,94,0,0,3%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,13,8710,0%,25,13,54%,8,33%,270,34%,45%
MTR,2237,0,0,2%,5,8,5,1,0,4,10,4,18,18,18,0,0,0,0,0,0,0,0,0,-20,-1000,0,0,0,0,0%,1582,-2,-0%,238,15%,707,34%,45%
NLL,319,0,0,4%,2,16,2,1,1,9,7,0,16,16,11,0,0,0,9,4,0,0,0,0,8,400,-2,-5,32,21440,0%,86,45,52%,28,33%,269,34%,45%
OAK,97233,0,0,8%,48,66,48,1,1,151,655,127,933,759,759,0,193,289500,571,285,86,860,208,31,1411,70550,452,1130,922,617740,25%,316403,159577,50%,4307,1%,3254,34%,45%
PLK,465,0,0,4%,2,4,2,1,1,5,4,0,9,9,9,0,0,0,0,0,0,0,10,1,-8,-400,12,30,0,0,0%,68,6,10%,53,77%,147,34%,45%
SHT,827,0,0,4%,4,7,4,1,0,6,9,0,15,15,15,0,11,15400,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,148,51,35%,70,47%,179,34%,45%
TAM,19330,0,0,2%,24,24,24,1,0,14,71,2,87,87,87,0,0,0,0,0,0,0,145,21,-71,-3550,0,0,0,0,0%,14457,255,1%,552,3%,747,34%,45%
TPD,721,0,0,5%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,22,3,-8,-400,36,90,8,5360,0%,142,26,18%,84,59%,196,34%,45%
TPP,19479,0,0,4%,28,28,28,1,1,16,16,2,34,34,32,0,0,0,75,37,0,0,0,0,18,900,0,0,0,0,0%,3885,16,0%,1878,48%,199,34%,45%
TRH,8399,0,0,7%,3,29,3,0,0,1,12,0,13,17,15,0,11,15400,0,0,0,0,13,1,102,5100,23,57,0,0,25%,2872,96,3%,587,20%,342,34%,45%
TRI,3941,0,0,2%,7,7,7,1,0,4,8,6,18,16,16,0,0,0,0,0,0,0,57,8,-12,-600,96,240,0,0,25%,3327,75,2%,482,14%,844,34%,45%
UEK,17747,0,0,2%,20,37,20,1,0,15,19,5,39,33,33,0,0,0,0,0,0,0,42,6,-5,-250,98,245,52,34840,0%,6325,277,4%,1502,23%,356,34%,45%
WGK,588,0,0,2%,4,4,4,1,0,8,15,2,25,25,25,0,0,0,0,0,0,0,0,0,-30,-1500,96,240,11,7370,0%,332,96,28%,65,19%,565,34%,45%
AAV,139,0,0,1%,1,1,1,0,0,6,6,2,14,14,11,0,0,0,0,0,0,0,0,0,7,350,-2,-5,0,0,25%,53,-0,-0%,20,38%,381,34%,45%
AGC,7737,0,0,2%,6,6,6,1,0,17,12,15,44,44,43,0,0,0,64,32,0,0,0,0,91,4550,0,0,0,0,0%,8584,23,0%,453,5%,1109,34%,45%
AHM,1627,0,0,5%,7,7,7,1,0,14,9,0,23,24,24,0,0,0,0,0,0,0,0,0,-20,-1000,0,0,0,0,0%,298,-2,-0%,172,57%,183,34%,45%
ARN,5555,0,0,2%,8,14,8,1,0,12,4,10,26,26,26,0,0,0,0,0,0,0,88,13,21,1050,0,0,22,14740,0%,4829,50,1%,441,9%,869,34%,45%
ATL,9050,0,0,2%,4,4,4,1,0,14,25,14,53,53,52,0,155,279000,0,0,208,2080,0,0,-50,-2500,0,0,11,7370,-5%,10760,1448,13%,305,2%,1188,34%,45%
AUC,6642,0,0,2%,15,15,15,1,0,41,46,13,100,91,90,0,25,40000,26,13,5,50,0,0,113,5650,0,0,-2,-1340,0%,7809,356,4%,665,8%,1175,34%,45%
AUF,1837,0,0,2%,5,5,5,1,0,2,4,3,9,18,17,0,0,0,42,21,0,0,0,0,-10,-500,0,0,114,76380,0%,1164,132,11%,204,17%,633,34%,45%
BTR,24727,0,0,2%,25,25,25,1,0,23,32,5,60,60,60,0,37,66600,0,0,0,0,66,9,29,1450,0,0,89,59630,0%,7228,837,11%,2451,33%,292,34%,45%
CUL,200,0,0,4%,1,3,1,1,1,8,3,0,11,11,11,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,0%,7,-0,-6%,8,105%,38,34%,45%
ETV,464,0,0,2%,1,1,1,1,0,3,7,8,18,18,18,0,95,156750,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,940,328,34%,68,7%,2024,34%,45%
FLU,394,0,0,5%,2,2,2,1,0,9,6,0,15,15,15,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,34,-1,-3%,33,95%,87,34%,45%
FRO,675,0,0,2%,3,3,3,1,0,15,9,0,24,24,24,0,0,0,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,113,15,13%,81,71%,167,34%,45%
JIN,805,0,0,5%,1,1,1,1,0,8,8,0,16,16,16,0,0,0,0,0,0,0,9,1,2,100,0,0,0,0,0%,160,3,2%,110,68%,198,34%,45%
KHM,9290,0,0,5%,13,13,13,1,0,7,13,0,20,27,27,0,0,0,0,0,0,0,0,0,29,1450,0,0,87,58290,0%,3333,197,5%,870,26%,358,34%,45%
KKV,710,0,0,4%,1,1,1,1,1,3,5,3,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,0%,378,-0,-0%,101,26%,532,34%,45%
KSA,6756,0,0,2%,10,10,10,1,0,6,9,9,24,27,27,0,82,135300,16,8,48,480,0,0,32,1600,0,0,11,7370,0%,5653,364,6%,732,12%,836,34%,45%
LNV,479,0,0,4%,1,1,1,1,1,3,6,3,12,12,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,11,7370,-5%,266,13,4%,65,24%,555,34%,45%
LOC,143,0,0,4%,1,1,1,1,1,6,3,0,9,9,9,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,0%,18,-0,-2%,18,99%,126,34%,45%
MES,1126,0,0,2%,1,1,1,1,0,4,5,3,12,12,12,0,0,0,0,0,0,0,0,0,-10,-500,0,0,103,69010,0%,806,126,15%,166,20%,716,34%,45%
MJU,117127,0,0,7%,53,30,53,1,-0,102,301,47,450,357,355,0,184,303600,345,172,88,880,221,33,590,29500,42,105,283,189610,75%,88420,32337,36%,8822,9%,1187,34%,45%
MNG,4069,0,0,4%,7,7,7,1,1,9,11,3,23,23,21,0,9,10350,0,0,0,0,0,0,22,1100,0,0,11,7370,0%,1766,50,2%,315,17%,433,34%,45%
MRV,217,0,0,2%,1,1,1,1,0,3,6,3,12,12,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,11,7370,0%,127,13,10%,32,25%,585,34%,45%
OOD,10305,0,0,5%,1,1,1,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,11,7370,0%,3268,16,0%,924,28%,317,34%,45%
PER,337,0,0,5%,1,1,1,1,0,4,7,0,11,11,11,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,0%,49,-0,-0%,44,88%,146,34%,45%
QDT,3301,0,0,5%,15,16,15,1,0,11,11,10,32,36,36,0,73,131400,10,5,0,0,0,0,128,6400,0,0,0,0,0%,4892,374,7%,259,5%,1482,34%,45%
QUE,4429,0,0,4%,12,12,12,1,1,7,12,5,24,28,26,0,0,0,0,0,0,0,0,0,-28,-1400,0,0,11,7370,0%,3124,17,0%,457,14%,705,34%,45%
RIV,961,0,0,2%,2,2,2,1,0,3,5,5,13,13,13,0,86,154800,0,0,102,1020,0,0,-10,-500,0,0,0,0,0%,1064,285,26%,126,11%,1106,34%,45%
RJV,274,0,0,5%,1,1,1,1,0,3,5,3,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,11,7370,0%,153,12,8%,37,24%,560,34%,45%
RNV,470,0,0,2%,1,1,1,1,0,3,7,3,13,13,12,0,61,100650,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,504,210,41%,69,13%,1070,34%,45%
SDP,35977,0,0,7%,7,28,7,1,0,42,62,25,129,91,91,0,69,113850,81,40,17,170,0,0,111,5550,-4,-10,103,69010,0%,24160,2384,9%,2039,8%,671,34%,45%
SKE,967,0,0,6%,2,2,2,0,0,5,7,4,16,16,16,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,610,-1,-0%,130,21%,631,34%,45%
SMP,26413,0,0,4%,5,5,5,1,0,34,60,0,94,93,92,0,0,0,26,13,8,80,219,32,-18,-900,-4,-10,82,54940,0%,18187,1264,6%,2282,12%,688,34%,45%
SPP,37694,0,0,4%,7,17,7,1,0,9,32,10,51,89,88,0,99,163350,0,0,0,0,0,0,56,2800,0,0,0,0,0%,22460,2274,10%,1163,5%,595,34%,45%
SRV,468,0,0,5%,1,1,1,1,0,4,8,7,19,19,19,0,55,90750,0,0,0,0,0,0,-16,-800,0,0,0,0,0%,700,201,28%,27,3%,1497,34%,45%
TNV,350,0,0,4%,1,1,1,1,1,8,7,4,19,19,14,0,0,0,0,0,0,0,0,0,5,250,-2,-5,12,8040,0%,243,16,6%,51,21%,693,34%,45%
UMB,2526,0,0,7%,4,4,4,0,0,4,11,13,28,26,26,0,0,0,0,0,0,0,0,0,14,700,0,0,0,0,75%,4318,2,0%,273,6%,1709,34%,45%
USV,145,0,0,2%,1,1,1,1,0,3,6,7,16,16,15,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,125,-1,-0%,14,11%,860,34%,45%
WEA,278,0,0,6%,1,1,1,0,0,4,7,3,14,14,14,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,137,-1,-1%,41,29%,495,34%,45%
HAW,2565,0,0,7%,7,44,7,1,0,2,5,2,9,16,16,0,1,550,0,0,0,0,0,0,5,250,0,0,0,0,50%,769,1,0%,171,22%,299,34%,45%
HDW,5860,0,0,6%,7,7,7,0,0,2,4,0,6,12,12,0,4,2200,3,1,0,0,27,4,-18,-900,23,57,22,14740,50%,1557,54,3%,676,43%,265,34%,45%
HFR,19578,0,0,4%,10,25,10,0,0,17,19,0,36,29,29,0,0,0,80,40,0,0,55,8,9,450,42,105,29,19430,50%,4353,177,4%,1013,23%,222,34%,45%
AVE,172,0,0,5%,2,7,2,1,0,10,8,0,18,18,18,0,0,0,0,0,0,0,0,0,32,1600,0,0,29,19430,0%,75,46,62%,17,23%,435,34%,45%
BIU,234,0,0,5%,2,7,2,1,0,9,10,2,21,21,21,0,0,0,0,0,0,0,0,0,48,2400,0,0,53,35510,0%,199,94,47%,31,15%,850,34%,45%
CNO,90186,0,0,4%,15,15,15,0,0,45,61,5,111,74,74,0,16,8800,71,35,0,0,105,15,198,9900,53,132,95,63650,75%,18323,1581,8%,4652,25%,203,34%,45%
DMP,2356,0,0,9%,7,9,7,1,0,1,1,2,4,12,12,0,0,0,0,0,0,0,0,0,15,750,0,0,0,0,25%,930,0,0%,277,29%,394,34%,45%
ERP,866,0,0,7%,2,2,2,0,0,3,6,2,11,11,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,75%,324,-1,-0%,104,32%,373,34%,45%
FIK,2135,0,0,2%,3,3,3,0,-0,5,9,2,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,935,0,0%,277,29%,438,34%,45%
GSD,14935,0,0,5%,12,16,12,1,0,21,22,0,43,43,43,0,15,19500,0,0,0,0,88,13,187,9350,149,372,21,14070,25%,6682,493,7%,802,12%,447,34%,45%
KGK,11654,0,0,2%,17,13,17,1,0,14,22,2,38,39,39,0,0,0,0,0,0,0,0,0,-27,-1350,374,935,0,0,25%,3414,417,12%,1272,37%,360,34%,45%
LEE,2921,0,0,2%,6,8,6,1,0,5,5,2,12,12,12,0,0,0,0,0,0,0,0,0,-10,-500,0,0,11,7370,0%,1076,12,1%,247,23%,368,34%,45%
