Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,0,0,0,4%,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7370,0%,345,8,2%,335,97%,105,28%,38%
DOO,1106,0,0,5%,7,7,7,0,0,3,4,0,7,8,8,0,13,14300,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,143,23,16%,97,68%,129,28%,38%
DTP,1135,0,0,2%,2,2,2,0,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,447,11,2%,142,31%,394,28%,38%
FDN,1269,0,0,3%,6,7,6,0,0,4,9,4,17,17,17,0,5,5750,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,746,29,3%,123,16%,587,28%,38%
HYP,400,0,0,6%,2,2,2,0,0,3,4,0,7,7,7,0,0,0,20,10,0,0,0,0,-8,-400,0,0,0,0,0%,52,1,1%,47,90%,130,28%,38%
INH,2017,0,0,4%,3,6,3,1,1,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,722,-0,-0%,259,35%,358,28%,38%
KST,337,0,0,5%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,11,7370,0%,115,12,10%,26,22%,340,28%,38%
LLD,7817,0,0,2%,6,6,6,0,0,7,5,2,14,14,14,0,0,0,25,12,0,0,0,0,28,1400,0,0,0,0,0%,2184,4,0%,712,32%,279,28%,38%
MLB,88,0,0,3%,1,1,1,0,0,3,6,0,9,9,9,0,0,0,0,0,0,0,0,0,-12,-600,0,0,13,8710,0%,26,15,58%,8,30%,305,28%,38%
MTR,2110,0,0,4%,5,8,5,0,0,4,9,3,16,16,16,0,0,0,0,0,0,0,0,0,-18,-900,0,0,0,0,0%,1147,-2,-0%,225,19%,543,28%,38%
NLL,307,0,0,4%,2,16,2,1,1,9,6,0,15,15,10,0,0,0,8,4,0,0,0,0,10,500,-2,-5,17,11390,0%,55,23,41%,26,47%,179,28%,38%
OAK,105294,0,0,10%,66,66,66,1,1,259,491,79,829,688,688,0,375,1387500,730,365,149,298,423,63,2418,120900,678,1695,1103,739010,25%,394496,259892,65%,5602,1%,3746,28%,38%
PLK,429,0,0,5%,2,4,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,10,1,-8,-400,12,30,0,0,0%,61,6,11%,48,79%,142,28%,38%
SHT,784,0,0,3%,4,7,4,1,0,5,9,0,14,14,14,0,11,12650,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,131,45,34%,66,50%,167,28%,38%
TAM,17330,0,0,2%,24,24,24,0,0,23,18,2,43,42,42,0,0,0,0,0,0,0,116,17,40,2000,0,0,0,0,0%,5258,76,1%,466,8%,303,28%,38%
TPD,673,0,0,7%,3,3,3,0,0,3,3,0,6,8,8,0,0,0,0,0,0,0,15,2,-8,-400,25,62,18,12060,0%,121,30,25%,74,60%,180,28%,38%
TPP,18214,0,0,4%,28,28,28,1,1,10,7,2,19,19,17,0,0,0,72,36,0,0,0,0,37,1850,0,0,0,0,0%,3365,12,0%,1756,52%,184,28%,38%
TRH,8004,0,0,5%,3,29,3,0,1,3,4,0,7,15,15,0,9,10800,0,0,0,0,0,0,85,4250,6,15,0,0,25%,2171,31,1%,554,25%,271,28%,38%
TRI,0,0,0,4%,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,418,0,0%,418,100%,120,28%,38%
UEK,15887,0,0,7%,20,37,18,0,0,18,17,5,40,29,29,0,0,0,0,0,0,0,39,5,3,150,85,212,54,36180,0%,5312,230,4%,1364,25%,323,28%,38%
WGK,562,0,0,5%,4,4,4,0,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-700,90,225,0,0,0%,246,45,18%,61,25%,438,28%,38%
AAV,134,0,0,4%,1,1,1,1,1,3,5,2,10,10,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,-5%,48,-0,-1%,17,36%,360,28%,38%
AGC,7252,0,0,2%,6,6,6,1,0,10,12,12,34,28,27,0,0,0,67,33,0,0,0,0,106,5300,0,0,11,7370,25%,6640,48,0%,417,6%,915,28%,38%
AHM,1524,0,0,4%,7,7,7,1,1,13,6,0,19,20,20,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,257,-1,-0%,160,62%,169,28%,38%
ARN,5189,0,0,2%,8,14,8,1,0,7,9,4,20,20,20,0,0,0,0,0,0,0,87,13,11,550,0,0,22,14740,0%,2897,71,2%,408,14%,558,28%,38%
ATL,8424,0,0,2%,4,4,4,1,0,9,6,5,20,20,19,0,135,202500,0,0,180,360,0,0,-12,-600,0,0,11,7370,0%,4854,482,9%,281,5%,576,28%,38%
