Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,0,0,0,9%,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7370,0%,365,8,2%,355,97%,106,34%,45%
DOO,1151,0,0,7%,7,7,7,0,0,3,4,0,7,8,8,0,13,15600,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,152,25,16%,102,67%,132,34%,45%
DTP,0,0,0,4%,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6030,0%,157,6,4%,150,95%,132,34%,45%
FDN,1164,0,0,8%,6,7,5,0,0,4,9,3,16,16,16,0,4,5800,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,621,28,4%,127,20%,470,34%,45%
HYP,0,0,0,3%,2,2,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,0,0%,50,100%,119,34%,45%
INH,2125,0,0,2%,3,6,3,0,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,770,-0,-0%,276,35%,362,34%,45%
KST,0,0,0,8%,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7370,0%,37,8,22%,27,73%,106,34%,45%
LLD,0,0,0,4%,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,754,0,0%,754,100%,91,34%,45%
MLB,0,0,0,5%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7370,0%,18,8,45%,8,49%,195,34%,45%
MTR,2199,0,0,10%,5,8,5,0,0,4,9,3,16,16,16,0,0,0,0,0,0,0,0,0,-18,-900,0,0,0,0,0%,1215,-2,-0%,237,19%,552,34%,45%
