Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2472,2472,0,1%,7,7,7,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,10,1,-6,-420,17,42,0,0,50%,175,3,1%,151,86%,70,1%,2%
BHK,4427,4427,0,3%,14,14,14,0,0,5,9,1,15,15,15,0,1,550,0,0,0,0,29,4,-10,-700,17,42,17,11390,50%,681,20,2%,287,42%,153,1%,2%
COA,21668,18916,0,2%,9,31,11,0,0,21,24,6,51,53,46,0,34,28900,131,65,0,0,0,0,125,8750,19,47,186,124620,0%,6303,579,9%,876,13%,333,1%,2%
DOO,859,859,0,1%,7,7,7,0,0,2,2,0,4,5,5,0,2,1100,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,46,0,0%,39,85%,54,1%,2%
DTP,867,867,0,1%,2,2,2,0,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,94,-0,-0%,71,75%,109,1%,2%
FDN,976,976,0,1%,6,7,6,0,0,2,5,2,9,9,9,0,1,550,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,134,0,0%,52,38%,137,1%,2%
HNT,2832,2832,0,1%,4,7,4,0,0,0,2,2,4,5,5,0,2,1100,0,0,0,0,0,0,6,420,-2,-5,0,0,50%,430,0,0%,215,50%,151,1%,2%
HYP,306,306,0,1%,2,2,2,0,0,0,2,0,2,2,2,0,0,0,5,2,0,0,0,0,-4,-280,0,0,0,0,50%,22,0,0%,21,96%,73,1%,2%
INH,1479,1479,0,1%,3,6,3,0,0,3,1,0,4,4,4,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,170,-0,-0%,125,73%,115,1%,2%
KST,262,262,0,1%,2,2,2,0,0,2,3,0,5,5,5,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,12,-0,-1%,11,95%,46,1%,2%
LLD,5908,5908,0,1%,6,6,6,0,0,1,4,0,5,5,5,0,0,0,7,3,0,0,0,0,2,140,0,0,0,0,50%,644,0,0%,401,62%,109,1%,2%
MLB,68,68,0,1%,1,1,1,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-280,0,0,1,670,50%,2,0,8%,2,92%,37,1%,2%
MTR,1597,1597,0,1%,5,8,5,0,0,1,4,1,6,6,6,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,257,-0,-0%,117,45%,160,1%,2%
NLL,231,231,0,2%,2,16,2,0,0,2,2,0,4,4,4,0,0,0,3,1,0,0,0,0,-3,-210,0,0,5,3350,50%,14,1,10%,12,86%,61,1%,2%
OAK,55973,56572,2153,3%,39,39,37,0,0,19,162,15,196,164,164,0,61,24400,78,39,0,0,88,13,553,38710,221,552,149,99830,50%,23376,5204,22%,1904,8%,408,1%,2%
PLK,331,331,0,1%,2,4,2,0,0,4,1,0,5,5,5,0,0,0,0,0,0,0,3,0,-2,-140,3,7,0,0,50%,23,0,1%,21,90%,70,1%,2%
SHT,606,606,0,1%,4,7,4,0,0,3,4,0,7,7,7,0,3,1650,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,34,0,2%,29,86%,57,1%,2%
TAM,13230,13230,0,3%,24,24,24,0,0,5,22,2,29,27,27,0,0,0,0,0,0,0,39,5,-27,-1890,0,0,0,0,50%,1800,11,0%,278,15%,136,1%,2%
TPD,520,520,0,1%,3,3,3,0,0,2,1,0,3,5,5,0,0,0,0,0,0,0,4,0,-4,-280,7,17,2,1340,50%,46,1,2%,38,81%,90,1%,2%
TPP,13195,13195,0,3%,28,28,28,0,0,5,6,0,11,10,10,0,0,0,22,11,0,0,0,0,1,70,-4,-10,0,0,50%,1410,0,0%,861,61%,106,1%,2%
TRH,6439,6439,0,3%,4,11,4,0,0,3,10,0,13,13,13,0,6,3300,0,0,0,0,24,3,60,4200,40,100,0,0,0%,1440,28,1%,364,25%,223,1%,2%
TRI,2612,2612,0,1%,5,7,5,0,0,2,3,0,5,4,4,0,0,0,0,0,0,0,17,2,-4,-280,22,55,0,0,50%,315,4,1%,217,68%,120,1%,2%
UEK,12801,12801,0,2%,19,21,19,0,0,6,6,3,15,15,15,0,0,0,0,0,0,0,5,0,-3,-210,14,35,13,8710,25%,2056,12,0%,784,38%,160,1%,2%
WGK,421,421,0,1%,4,4,4,0,0,2,4,0,6,6,6,0,0,0,0,0,0,0,0,0,-8,-560,27,67,0,0,50%,36,3,10%,29,81%,86,1%,2%
AAV,101,101,0,0%,1,1,1,0,0,1,1,2,4,4,4,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,17,-0,-0%,8,50%,171,1%,2%
AGC,5349,5349,0,2%,6,6,6,0,0,6,9,5,20,17,17,0,0,0,25,12,0,0,0,0,30,2100,0,0,0,0,50%,1895,3,0%,232,12%,354,1%,2%
AHM,1167,1167,0,2%,7,7,7,0,0,5,8,0,13,14,14,0,0,0,0,0,0,0,0,0,-18,-1260,0,0,0,0,25%,126,-0,-0%,82,65%,107,1%,2%
ARN,3802,3802,0,1%,8,14,8,0,0,6,7,1,14,13,13,0,0,0,0,0,0,0,25,3,-4,-280,0,0,6,4020,50%,951,7,0%,203,21%,250,1%,2%
ATL,6264,6264,0,2%,4,4,4,0,0,3,11,3,17,13,13,0,45,24750,0,0,60,600,0,0,-14,-980,0,0,0,0,50%,1907,49,2%,157,8%,304,1%,2%
AUC,4614,4614,0,2%,15,15,15,0,0,4,15,5,24,18,18,0,9,4950,9,4,0,0,0,0,30,2100,0,0,0,0,50%,1370,11,0%,297,21%,296,1%,2%
AUF,1308,1308,0,2%,5,5,5,0,0,0,3,3,6,10,10,0,0,0,14,7,0,0,0,0,-10,-700,0,0,35,23450,50%,324,13,4%,98,30%,247,1%,2%
BTR,17291,17291,0,3%,25,25,25,0,0,4,14,3,21,19,19,0,12,6600,0,0,0,0,20,3,1,70,0,0,29,19430,50%,2190,45,2%,1119,51%,126,1%,2%
CPF,330,330,0,3%,1,4,1,0,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,5,350,0,0,0,0,0%,30,0,0%,27,90%,92,1%,2%
CUL,102,102,0,2%,1,3,1,0,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,0,-0,-20%,0,110%,3,1%,2%
ETV,340,340,0,1%,1,1,1,0,0,2,3,0,5,4,4,0,17,9350,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,36,4,12%,29,79%,108,1%,2%
FLU,286,286,0,3%,2,2,2,0,0,2,3,0,5,5,5,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,15,-0,-0%,14,94%,52,1%,2%
FRO,489,489,0,3%,3,3,3,0,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,37,-0,-0%,34,89%,77,1%,2%
JIN,578,578,0,2%,1,1,1,0,0,3,4,0,7,7,7,0,0,0,0,0,0,0,3,0,-2,-140,0,0,0,0,25%,64,0,0%,52,80%,111,1%,2%
