Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2602,2602,0,2%,7,7,7,1,0,3,6,0,9,9,9,0,0,0,0,0,0,0,19,2,-12,-840,32,80,0,0,25%,234,8,3%,155,66%,89,7%,9%
BHK,4680,4680,0,3%,14,14,14,0,0,6,8,3,17,18,18,0,2,2000,0,0,0,0,55,8,-5,-350,33,82,32,21440,50%,1135,40,3%,295,26%,242,7%,9%
DOO,905,905,0,2%,7,7,7,1,0,2,2,0,4,6,6,0,4,2200,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,50,0,1%,40,80%,55,7%,9%
DTP,914,914,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,194,-0,-0%,80,41%,212,7%,9%
FDN,1029,1029,0,2%,6,7,6,1,0,4,7,2,13,13,13,0,3,1650,0,0,0,0,0,0,-14,-980,0,0,0,0,25%,163,0,0%,54,33%,158,7%,9%
HYP,322,322,0,5%,2,2,2,1,0,3,2,0,5,5,5,0,0,0,12,6,0,0,0,0,-4,-280,0,0,0,0,50%,26,0,0%,24,89%,83,7%,9%
INH,1562,1562,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,314,-0,-0%,130,41%,201,7%,9%
KST,275,275,0,2%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,40,-0,-0%,12,31%,147,7%,9%
LLD,6231,6231,0,2%,6,6,6,1,0,4,9,2,15,14,14,0,0,0,17,8,0,0,0,0,7,490,0,0,0,0,70%,1575,1,0%,428,27%,252,7%,9%
MLB,72,72,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,2,1340,25%,3,0,17%,2,81%,44,7%,9%
MTR,1685,1685,0,2%,5,8,5,1,0,4,7,1,12,12,12,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,25%,340,-0,-0%,128,37%,202,7%,9%
