Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2652,2652,0,2%,7,7,7,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,20,3,-12,-840,35,87,0,0,25%,479,9,1%,156,32%,180,8%,11%
BHK,1144,4750,0,2%,14,14,4,0,0,1,3,3,7,9,9,0,1,1000,0,0,0,0,8,1,-8,-560,0,0,32,21440,50%,863,13,1%,301,34%,181,8%,11%
DOO,920,920,0,2%,7,7,7,1,0,2,2,0,4,7,7,0,4,2200,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,51,0,1%,41,79%,56,8%,11%
DTP,929,929,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,199,-0,-0%,80,40%,214,8%,11%
FDN,1047,1047,0,2%,6,7,6,1,0,4,7,4,15,15,15,0,3,1650,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,253,0,0%,55,21%,242,8%,11%
HYP,327,327,0,5%,2,2,2,1,0,3,4,0,7,7,7,0,0,0,14,7,0,0,0,0,-8,-560,0,0,0,0,25%,27,0,0%,24,89%,82,8%,11%
INH,1592,1592,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,321,-0,-0%,132,41%,201,8%,11%
KST,280,280,0,2%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,41,-0,-0%,13,31%,149,8%,11%
LLD,6342,6342,0,2%,6,6,6,1,0,5,9,2,16,16,16,0,0,0,18,9,0,0,0,0,9,630,0,0,0,0,-5%,1776,2,0%,447,25%,280,8%,11%
MLB,73,73,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,25%,6,3,54%,2,43%,83,8%,11%
MTR,1716,1716,0,2%,5,8,5,1,0,4,7,1,12,12,12,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,345,-0,-0%,129,37%,201,8%,11%
NLL,248,248,0,4%,2,16,2,1,0,9,4,0,13,13,8,0,0,0,5,2,0,0,0,0,7,490,-2,-5,9,6030,0%,17,3,20%,12,74%,68,8%,11%
OAK,89044,85198,0,2%,52,66,65,0,0,34,290,34,358,280,266,0,129,148350,423,211,6,60,176,26,764,53480,322,805,393,263310,50%,54902,28491,51%,3138,5%,644,8%,11%
PLK,356,356,0,5%,2,4,2,0,1,4,4,0,8,8,8,0,0,0,0,0,0,0,7,1,-8,-560,9,22,0,0,0%,28,1,5%,24,83%,80,8%,11%
SHT,648,648,0,2%,4,7,4,1,0,5,9,0,14,12,12,0,10,5500,0,0,0,0,0,0,-14,-980,0,0,9,6030,75%,51,10,20%,33,64%,79,8%,11%
TAM,14037,14278,0,2%,24,24,21,0,1,5,29,2,36,36,36,0,0,0,0,0,0,0,88,13,-28,-1960,0,0,8,5360,0%,2694,65,2%,290,10%,188,8%,11%
