Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2557,2557,0,2%,7,7,7,1,0,3,6,0,9,9,9,0,0,0,0,0,0,0,19,2,-12,-840,32,80,0,0,25%,230,7,3%,153,66%,90,5%,7%
BHK,4596,4596,0,3%,14,14,14,0,0,6,8,3,17,18,18,0,2,1100,0,0,0,0,55,8,-5,-350,33,82,32,21440,50%,1131,36,3%,292,25%,246,5%,7%
COA,11727,19367,0,2%,9,31,6,0,0,13,17,7,37,34,31,0,27,28350,73,36,0,0,0,0,14,980,0,0,85,56950,50%,4756,206,4%,876,18%,245,5%,7%
DOO,890,890,0,2%,7,7,7,1,0,2,2,0,4,6,6,0,4,2200,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,49,0,1%,40,81%,55,5%,7%
DTP,899,899,0,1%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,181,-0,-0%,76,41%,201,5%,7%
FDN,1013,1013,0,2%,6,7,6,1,0,4,7,2,13,13,13,0,2,1100,0,0,0,0,0,0,-14,-980,0,0,0,0,50%,161,0,0%,53,32%,159,5%,7%
HNT,2936,2936,0,2%,4,7,4,1,0,1,5,2,8,9,9,0,4,2200,0,0,0,0,0,0,20,1400,0,0,0,0,75%,668,2,0%,228,34%,227,5%,7%
HYP,317,317,0,5%,2,2,2,1,0,3,2,0,5,5,5,0,0,0,10,5,0,0,0,0,-4,-280,0,0,0,0,50%,24,0,0%,21,90%,76,5%,7%
INH,1534,1534,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,304,-0,-0%,128,42%,198,5%,7%
KST,271,271,0,2%,2,2,2,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,13,-0,-2%,12,93%,50,5%,7%
