Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2428,0%,7,7,0,0,0,1,0,1,0,0,0,0,0,0,0,14,2,-2,-140,23,57,0,0,50%,121,2,2%,98,81%,50,0%,0%
BHK,4348,3%,14,14,0,0,3,6,2,11,0,2,1100,0,0,0,0,57,8,-3,-210,33,82,42,28140,50%,756,33,4%,189,25%,174,0%,0%
COA,18647,2%,9,9,0,0,26,26,5,57,0,49,41650,199,99,0,0,0,0,191,13370,28,70,244,163480,0%,7814,791,10%,579,7%,419,0%,0%
DOO,843,0%,7,7,0,0,0,1,0,1,0,11,6050,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,29,1,6%,26,87%,35,0%,0%
DTP,851,0%,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,64,0,0%,47,73%,75,0%,0%
FDN,959,0%,6,6,0,0,1,3,2,6,0,2,1100,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,119,0,0%,34,28%,124,0%,0%
HNT,2781,0%,4,4,0,0,0,0,0,0,0,11,6050,0,0,0,0,0,0,18,1260,-2,-5,0,0,50%,143,1,1%,141,98%,51,0%,0%
HYP,300,0%,2,2,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,50%,14,0,0%,14,99%,47,0%,0%
INH,1452,0%,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,82,0,0%,82,100%,57,0%,0%
KST,257,0%,2,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,8,-0,-0%,7,91%,32,0%,0%
LLD,5801,0%,6,6,0,0,1,2,0,3,0,0,0,14,7,0,0,0,0,12,840,0,0,0,0,50%,486,0,0%,264,54%,83,0%,0%
MLB,67,0%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,670,50%,1,0,10%,1,91%,25,0%,0%
MTR,1567,0%,5,5,0,0,1,3,1,5,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,223,-0,-0%,77,34%,142,0%,0%
NLL,227,0%,2,2,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,70,0,0,6,4020,50%,10,1,10%,8,80%,44,0%,0%
OAK,57847,2%,39,39,0,0,27,157,26,210,0,118,47200,153,76,0,0,189,28,1075,75250,344,860,274,183580,75%,35551,10781,30%,1266,3%,629,0%,0%
PLK,324,1%,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,12,0,0,50%,16,0,2%,14,84%,51,0%,0%
SHT,595,0%,4,4,0,0,2,3,0,5,0,6,3300,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,25,1,5%,19,78%,42,0%,0%
TAM,12994,3%,24,24,0,0,3,19,0,22,0,0,0,0,0,0,0,74,11,-19,-1330,0,0,0,0,50%,1499,21,1%,183,12%,115,0%,0%
TPD,510,0%,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,16,40,4,2680,50%,35,2,5%,25,69%,70,0%,0%
TPP,12955,3%,28,28,0,0,4,3,0,7,0,0,0,42,21,0,0,0,0,15,1050,-4,-10,0,0,50%,1126,1,0%,567,50%,86,0%,0%
TRH,6319,2%,4,4,0,0,3,8,0,11,0,6,3300,0,0,0,0,16,2,18,1260,24,60,0,0,0%,1067,14,1%,239,22%,168,0%,0%
TRI,2564,0%,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,42,105,0,0,50%,146,3,2%,143,97%,57,0%,0%
UEK,12554,2%,19,19,0,0,4,6,3,13,0,0,0,0,0,0,0,14,2,-4,-280,34,85,20,13400,25%,1764,21,1%,515,29%,140,0%,0%
WGK,413,0%,4,4,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,-4,-280,47,117,0,0,50%,26,4,17%,18,71%,63,0%,0%
AAV,100,0%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,5,0,0%,5,100%,57,0%,0%
AGC,5252,0%,6,6,0,0,4,4,5,13,0,0,0,38,19,0,0,0,0,53,3710,0,0,0,0,50%,1871,5,0%,152,8%,356,0%,0%
AHM,1146,2%,7,7,0,0,5,7,0,12,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,25%,95,-0,-0%,53,56%,82,0%,0%
ARN,3734,0%,8,8,0,0,4,4,1,9,0,0,0,0,0,0,0,42,6,5,350,0,0,12,8040,50%,889,10,1%,133,15%,238,0%,0%
ATL,6150,0%,4,4,0,0,2,5,3,10,0,71,39050,0,0,96,960,0,0,-10,-700,0,0,0,0,50%,1900,66,3%,103,5%,309,0%,0%
AUC,4530,0%,15,15,0,0,3,11,5,19,0,13,7150,13,6,0,0,0,0,53,3710,0,0,0,0,50%,1365,14,1%,196,14%,301,0%,0%
AUF,1284,0%,5,5,0,0,0,2,1,3,0,0,0,23,11,0,0,0,0,-6,-420,0,0,47,31490,50%,204,14,7%,64,31%,158,0%,0%
BTR,16977,3%,25,25,0,0,4,9,3,16,0,21,11550,0,0,0,0,32,4,21,1470,0,0,47,31490,50%,1913,55,2%,734,38%,112,0%,0%
CPF,325,3%,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,7,490,0,0,0,0,0%,20,0,0%,17,85%,63,0%,0%
