Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3360,4%,7,7,1,1,1,45,2,48,0,0,0,0,0,0,0,51,7,-87,-6090,85,212,12,8040,0%,905,93,10%,148,16%,269,34%,45%
COA,110158,1%,62,62,1,1,125,1960,32,2117,0,909,3726900,1284,642,69,690,1364,204,3787,265090,2027,5067,2395,1604650,75%,1805878,1432179,79%,2651,0%,16393,34%,45%
FDN,1015,4%,5,5,0,0,1,24,3,28,0,6,6000,0,0,0,0,0,0,-62,-4340,0,0,11,7370,0%,227,14,6%,38,16%,223,34%,45%
HNT,4219,4%,6,6,1,0,2,23,3,28,0,21,23100,0,0,0,0,0,0,11,770,-4,-10,12,8040,0%,1387,59,4%,230,16%,328,34%,45%
INH,3388,4%,6,6,0,0,0,52,3,55,0,0,0,0,0,0,0,0,0,-148,-10360,0,0,11,7370,0%,1148,-10,-0%,207,18%,338,34%,45%
NLL,10975,9%,16,16,0,0,18,116,6,140,0,0,0,74,37,0,0,39,5,-256,-17920,64,160,34,22780,0%,4758,252,5%,546,11%,433,34%,45%
PLK,448,6%,2,2,0,0,0,21,0,21,0,0,0,0,0,0,0,12,1,-56,-3920,15,37,11,7370,0%,39,12,32%,21,54%,88,34%,45%
SHT,1177,3%,7,7,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,-90,-6300,0,0,0,0,0%,38,-14,-37%,38,99%,32,34%,45%
TAM,18141,4%,24,24,1,1,8,226,2,236,0,0,0,0,0,0,0,111,16,-548,-38360,-2,-5,0,0,0%,10592,-416,-3%,287,2%,583,34%,45%
TPP,18367,7%,28,28,0,0,0,179,2,181,0,0,0,119,59,0,0,0,0,-405,-28350,0,0,11,7370,0%,3172,-185,-5%,890,28%,172,34%,45%
TRH,11613,6%,13,13,1,0,0,116,0,116,0,0,0,0,0,0,0,13,1,-238,-16660,16,40,11,7370,0%,3458,-31,-0%,471,13%,297,34%,45%
TRI,3668,2%,7,7,0,0,0,67,3,70,0,0,0,0,0,0,0,89,13,-196,-13720,140,350,0,0,0%,1517,154,10%,229,15%,413,34%,45%
UEK,14487,7%,12,12,1,0,1,127,8,136,0,0,0,0,0,0,0,0,0,-233,-16310,3,7,43,28810,0%,5548,136,2%,618,11%,382,34%,45%
WGK,569,4%,4,4,0,0,0,34,2,36,0,0,0,0,0,0,0,0,0,-92,-6440,109,272,0,0,0%,147,45,30%,27,18%,259,34%,45%
AAV,142,4%,1,1,0,0,3,6,2,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,9,6030,0%,28,3,10%,9,32%,201,34%,45%
AGC,7775,1%,6,6,1,0,12,10,14,36,0,0,0,65,32,0,0,0,0,87,6090,0,0,0,0,0%,4791,12,0%,214,4%,616,34%,45%
AHM,1643,3%,7,7,0,0,15,11,0,26,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,217,-1,-0%,72,33%,132,34%,45%
ARN,5563,2%,8,8,1,0,7,8,8,23,0,0,0,0,0,0,0,93,13,16,1120,0,0,20,13400,0%,2395,26,1%,193,8%,430,34%,45%
ATL,8795,5%,4,4,0,0,7,12,6,25,0,135,283500,0,0,180,1800,0,0,-24,-1680,0,0,0,0,0%,4110,590,14%,140,3%,467,34%,45%
AUC,6662,2%,15,15,1,0,24,8,15,47,0,24,49200,24,12,0,0,0,0,155,10850,0,0,11,7370,0%,4578,52,1%,273,5%,687,34%,45%
AUF,1880,2%,5,5,1,0,1,6,3,10,0,0,0,41,20,0,0,0,0,-20,-1400,0,0,113,75710,0%,665,54,8%,88,13%,354,34%,45%
BTR,24537,2%,25,25,0,0,26,9,5,40,0,37,72150,0,0,0,0,61,9,66,4620,0,0,89,59630,0%,3822,132,3%,979,25%,155,34%,45%
CUL,139,4%,1,1,1,0,8,2,0,10,0,0,0,0,0,0,0,0,0,-4,-280,0,0,9,6030,0%,3,2,65%,0,13%,23,34%,45%
ETV,471,5%,1,1,1,0,3,6,2,11,0,89,173550,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,223,107,48%,30,13%,473,34%,45%
FLU,388,5%,2,2,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,-4,-280,0,0,10,6700,0%,21,2,11%,13,65%,54,34%,45%
FRO,672,3%,3,3,0,0,10,4,0,14,0,0,0,0,0,0,0,0,0,-8,-560,0,0,10,6700,0%,50,2,5%,31,62%,75,34%,45%
