Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3300,4%,7,7,1,1,1,39,2,42,0,0,0,0,0,0,0,40,6,-85,-5950,65,162,12,8040,0%,843,65,7%,146,17%,255,32%,43%
COA,107961,1%,62,62,1,1,95,1880,35,2010,0,758,3107800,1068,534,69,690,1284,192,3744,262080,1937,4842,2096,1404320,75%,1514206,1193073,78%,2608,0%,14025,32%,43%
FDN,998,4%,5,5,0,0,1,22,3,26,0,6,6000,0,0,0,0,0,0,-58,-4060,0,0,11,7370,0%,217,14,6%,37,17%,217,32%,43%
HNT,4147,4%,6,6,1,0,2,22,3,27,0,21,23100,0,0,0,0,0,0,13,910,-4,-10,12,8040,0%,1365,57,4%,227,16%,329,32%,43%
INH,3328,4%,6,6,0,0,0,48,3,51,0,0,0,0,0,0,0,0,0,-134,-9380,0,0,9,6030,0%,1103,-10,-0%,204,18%,331,32%,43%
NLL,10764,9%,16,16,0,0,15,111,6,132,0,0,0,74,37,0,0,39,5,-244,-17080,64,160,33,22110,0%,4596,244,5%,545,11%,427,32%,43%
PLK,441,6%,2,2,0,0,0,20,0,20,0,0,0,0,0,0,0,12,1,-54,-3780,15,37,11,7370,0%,38,12,32%,21,54%,88,32%,43%
SHT,1157,3%,7,7,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,-80,-5600,0,0,0,0,0%,41,-11,-27%,38,92%,35,32%,43%
TAM,17818,4%,24,24,1,1,1,223,2,226,0,0,0,0,0,0,0,76,11,-546,-38220,-2,-5,0,0,0%,8051,-556,-6%,282,3%,451,32%,43%
TPP,18040,7%,28,28,0,0,0,157,2,159,0,0,0,119,59,0,0,0,0,-347,-24290,0,0,11,7370,0%,3193,-121,-3%,878,27%,177,32%,43%
