Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3131,4%,7,7,1,1,1,32,2,35,0,0,0,0,0,0,0,27,4,-67,-4690,43,107,12,8040,0%,662,40,6%,120,18%,211,26%,35%
COA,101631,1%,62,62,1,1,62,1586,35,1683,0,591,2127600,702,351,49,490,917,137,3085,215950,1621,4052,1514,1014380,75%,901002,716506,79%,2331,0%,8865,26%,35%
FDN,950,4%,5,5,0,0,1,18,3,22,0,4,4000,0,0,0,0,0,0,-48,-3360,0,0,11,7370,0%,195,10,5%,33,17%,206,26%,35%
HNT,3939,4%,6,6,1,0,2,17,3,22,0,12,12000,0,0,0,0,0,0,-5,-350,-4,-10,12,8040,0%,1155,27,2%,193,16%,293,26%,35%
INH,3160,5%,6,6,0,0,0,39,3,42,0,0,0,0,0,0,0,0,0,-110,-7700,0,0,8,5360,0%,899,-6,-0%,171,19%,284,26%,35%
NLL,10152,7%,16,16,0,0,6,115,6,127,0,0,0,51,25,0,0,25,3,-267,-18690,39,97,30,20100,0%,3864,138,3%,480,12%,380,26%,35%
PLK,419,6%,2,2,0,0,0,19,0,19,0,0,0,0,0,0,0,11,1,-50,-3500,14,35,11,7370,0%,35,11,33%,19,54%,85,26%,35%
SHT,1101,2%,7,7,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,-72,-5040,0,0,0,0,0%,34,-9,-26%,32,95%,31,26%,35%
TAM,16896,4%,24,24,1,0,1,166,2,169,0,0,0,0,0,0,0,48,7,-428,-29960,-2,-5,0,0,0%,7346,-377,-5%,238,3%,434,26%,35%
TPP,17092,7%,28,28,0,0,0,124,2,126,0,0,0,66,33,0,0,0,0,-286,-20020,0,0,11,7370,0%,2312,-79,-3%,700,30%,135,26%,35%
