Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2848,1%,7,7,0,0,0,5,2,7,0,0,0,0,0,0,0,0,0,-10,-700,0,0,9,6030,0%,408,3,0%,112,27%,143,16%,21%
COA,91797,1%,62,63,0,0,110,693,34,837,0,238,345100,386,193,8,80,468,70,1564,109480,774,1935,731,489770,75%,148753,104240,70%,2068,1%,1622,16%,21%
FDN,1117,4%,6,6,0,0,4,8,4,16,0,4,4000,0,0,0,0,0,0,-16,-1120,0,0,9,6030,0%,266,6,2%,39,14%,238,16%,21%
HNT,3586,4%,6,6,1,0,2,11,3,16,0,10,10000,0,0,0,0,0,0,4,280,-4,-10,10,6700,0%,975,17,1%,180,18%,271,16%,21%
INH,1740,4%,3,3,1,0,5,5,2,12,0,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,322,2,0%,102,31%,185,16%,21%
KST,302,2%,2,2,0,0,4,6,2,12,0,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,41,2,5%,9,22%,138,16%,21%
NLL,9108,7%,16,16,0,0,6,46,4,56,0,0,0,43,21,0,0,16,2,-93,-6510,26,65,11,7370,0%,2519,39,1%,436,17%,276,16%,21%
PLK,381,2%,2,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,-12,-840,0,0,9,6030,0%,22,3,14%,17,77%,57,16%,21%
SHT,921,2%,6,6,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,-44,-3080,0,0,0,0,0%,34,-3,-10%,30,87%,37,16%,21%
TAM,15363,4%,24,25,0,0,1,109,2,112,0,0,0,0,0,0,0,40,6,-292,-20440,-2,-5,0,0,0%,4757,-160,-3%,222,4%,310,16%,21%
