# 1:00, 1 Incarnatio(1), 1734 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2908,2%,7,7,3,5,2,10,0,0,0,0,0,0,21,3,-10,-700,35,87,10,6700,0%,1076,15,1%,209,19%,370,17%,23%
DOO,1002,2%,7,7,1,5,0,6,6,6000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,118,12,10%,72,61%,118,17%,23%
DTP,1022,5%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,-5%,115,-0,-0%,73,63%,113,17%,23%
FDN,1139,5%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,10,6700,0%,176,11,6%,82,46%,154,17%,23%
HYP,356,2%,2,2,3,5,0,8,0,0,18,9,0,0,0,0,-10,-700,0,0,0,0,0%,27,0,0%,25,94%,76,17%,23%
INH,1777,4%,3,3,5,4,2,11,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,311,3,1%,128,41%,175,17%,23%
KST,309,4%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,22,-0,-3%,22,99%,72,17%,23%
LLD,6972,3%,6,6,5,16,2,23,0,0,36,18,0,0,0,0,10,700,0,0,10,6700,0%,6269,21,0%,502,8%,899,17%,23%
MLB,79,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,11,4,37%,5,51%,140,17%,23%
NLL,271,4%,2,2,9,5,0,14,0,0,8,4,0,0,0,0,14,980,-2,-5,16,10720,0%,33,10,30%,19,59%,122,17%,23%
OAK,113561,3%,96,96,57,468,35,560,261,261000,429,214,28,280,446,66,3329,233030,1075,2687,915,613050,50%,223064,96734,43%,8189,3%,2321,17%,23%
PLK,386,5%,2,2,4,4,0,8,0,0,0,0,0,0,9,1,-8,-560,12,30,0,0,0%,33,2,8%,27,83%,86,17%,23%
SHT,701,2%,4,4,5,7,0,12,11,11000,0,0,0,0,0,0,-14,-980,0,0,10,6700,0%,89,19,21%,50,56%,127,17%,23%
TPD,615,5%,3,3,3,3,0,6,0,0,0,0,0,0,16,2,-8,-560,26,65,17,11390,0%,69,14,21%,44,63%,112,17%,23%
TPP,15910,4%,28,28,9,11,2,22,0,0,73,36,0,0,0,0,31,2170,0,0,10,6700,0%,6473,21,0%,1147,17%,406,17%,23%
TRH,7359,2%,3,3,2,23,0,25,15,15000,0,0,0,0,12,1,92,6440,25,62,0,0,0%,11498,124,1%,530,4%,1562,17%,23%
TRI,3091,4%,5,5,3,6,3,12,0,0,0,0,0,0,58,8,-12,-840,97,242,10,6700,0%,1504,39,2%,222,14%,486,17%,23%
UEK,15107,2%,20,20,17,20,5,42,0,0,0,0,0,0,38,5,9,630,92,230,48,32160,0%,10618,144,1%,1089,10%,702,17%,23%
WGK,492,5%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,81,202,10,6700,0%,75,27,36%,35,46%,154,17%,23%
AAV,121,4%,1,1,3,7,4,14,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,-5%,7,-1,-13%,8,116%,61,17%,23%
AGC,6404,2%,6,6,8,34,12,54,0,0,68,34,0,0,0,0,47,3290,0,0,0,0,0%,15381,30,0%,461,3%,2401,17%,23%
AHM,1360,5%,7,7,9,18,0,27,0,0,0,0,0,0,0,0,-38,-2660,0,0,0,0,0%,332,-7,-2%,98,29%,244,17%,23%
ARN,4579,2%,8,8,7,9,7,23,0,0,0,0,0,0,96,14,15,1050,0,0,17,11390,0%,7328,39,0%,330,4%,1600,17%,23%
