# 1:00, 1 Incarnatio(1), 1731 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2750,2%,7,7,3,5,2,10,0,0,0,0,0,0,20,3,-10,-700,33,82,9,6030,0%,894,14,1%,191,21%,325,12%,16%
DOO,953,2%,7,7,1,4,0,5,6,6000,0,0,0,0,0,0,-12,-840,0,0,9,6030,0%,104,11,10%,66,63%,109,12%,16%
DTP,965,4%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,70%,109,-0,-0%,67,61%,113,12%,16%
FDN,1083,2%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,154,10,6%,75,49%,142,12%,16%
HYP,339,2%,2,2,3,5,0,8,0,0,16,8,0,0,0,0,-10,-700,0,0,0,0,0%,24,0,0%,23,95%,73,12%,16%
INH,1667,4%,3,3,5,4,2,11,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,263,3,1%,116,44%,158,12%,16%
KST,291,4%,2,2,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,20,-0,-3%,20,98%,70,12%,16%
LLD,6584,2%,6,6,5,10,2,17,0,0,28,14,0,0,0,0,15,1050,0,0,9,6030,0%,4969,13,0%,459,9%,754,12%,16%
MLB,75,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,10,4,39%,5,50%,139,12%,16%
MTR,1768,8%,5,5,4,7,3,14,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,379,-1,-0%,123,32%,214,12%,16%
NLL,257,4%,2,2,9,5,0,14,0,0,7,3,0,0,0,0,12,840,-2,-5,14,9380,0%,29,8,30%,17,60%,114,12%,16%
OAK,106520,2%,90,90,73,290,30,393,185,185000,256,128,13,130,272,40,2131,149170,697,1742,467,312890,50%,111979,32649,29%,7433,6%,1219,12%,16%
PLK,366,2%,2,2,4,4,0,8,0,0,0,0,0,0,8,1,-8,-560,10,25,0,0,0%,29,2,8%,25,85%,81,12%,16%
SHT,668,2%,4,4,5,7,0,12,10,10000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,79,17,21%,46,58%,118,12%,16%
TPD,580,5%,3,3,3,3,0,6,0,0,0,0,0,0,15,2,-8,-560,24,60,16,10720,25%,69,18,26%,40,57%,120,12%,16%
TPP,14923,2%,28,28,7,9,2,18,0,0,64,32,0,0,0,0,23,1610,0,0,9,6030,0%,5803,15,0%,1041,17%,388,12%,16%
TRH,7028,2%,3,3,2,14,0,16,13,13000,0,0,0,0,11,1,94,6580,21,52,0,0,0%,7345,70,0%,490,6%,1045,12%,16%
TRI,2916,2%,5,5,3,12,3,18,0,0,0,0,0,0,50,7,-12,-840,87,217,9,6030,75%,1420,54,3%,203,14%,487,12%,16%
UEK,14313,2%,20,20,14,17,5,36,0,0,0,0,0,0,32,4,7,490,81,202,45,30150,0%,9195,121,1%,998,10%,642,12%,16%
WGK,467,5%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,76,190,9,6030,0%,68,25,37%,32,47%,147,12%,16%
