# 1:00, 1 Incarnatio(1), 1729 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2649,2%,7,7,3,6,0,9,0,0,0,0,0,0,17,2,-10,-700,29,72,8,5360,75%,671,15,2%,180,26%,253,8%,11%
DOO,921,2%,7,7,1,4,0,5,5,5000,0,0,0,0,0,0,-12,-840,0,0,8,5360,25%,95,10,10%,62,66%,103,8%,11%
DTP,931,2%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,70%,96,-0,-0%,63,66%,103,8%,11%
FDN,1047,2%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,129,3,2%,71,55%,123,8%,11%
HNT,3042,2%,4,4,3,7,1,11,6,6000,0,0,0,0,0,0,28,1960,0,0,0,0,75%,1109,9,0%,207,18%,364,8%,11%
HYP,327,2%,2,2,3,5,0,8,0,0,16,8,0,0,0,0,-10,-700,0,0,0,0,75%,23,0,0%,22,95%,71,8%,11%
INH,1597,2%,3,3,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,227,-0,-0%,109,47%,142,8%,11%
KST,280,2%,2,2,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,19,-0,-3%,19,99%,68,8%,11%
LLD,6345,2%,6,6,5,8,0,13,0,0,26,13,0,0,0,0,15,1050,0,0,0,0,25%,3701,3,0%,432,11%,583,8%,11%
MLB,73,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,2,1340,0%,5,0,10%,4,87%,77,8%,11%
MTR,1710,6%,5,5,4,7,1,12,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,75%,323,-1,-0%,116,36%,189,8%,11%
NLL,247,2%,2,2,5,4,0,9,0,0,6,3,0,0,0,0,-6,-420,0,0,11,7370,0%,23,5,23%,16,71%,95,8%,11%
OAK,99987,2%,86,86,68,259,36,363,149,149000,198,99,0,0,204,30,1901,133070,603,1507,425,284750,50%,105111,25804,24%,6823,6%,1225,8%,11%
PLK,353,2%,2,2,4,4,0,8,0,0,0,0,0,0,7,1,-8,-560,9,22,0,0,25%,28,2,7%,24,86%,79,8%,11%
SHT,648,2%,4,4,5,7,0,12,9,9000,0,0,0,0,0,0,-14,-980,0,0,8,5360,0%,72,15,21%,44,61%,111,8%,11%
TPD,558,2%,3,3,3,3,0,6,0,0,0,0,0,0,14,2,-8,-560,23,57,5,3350,25%,52,8,16%,38,72%,93,8%,11%
TPP,14300,2%,28,28,7,8,0,15,0,0,60,30,0,0,0,0,18,1260,0,0,9,6030,0%,4688,13,0%,975,20%,327,8%,11%
TRH,6809,3%,3,3,2,9,0,11,7,7000,0,0,0,0,8,1,73,5110,15,37,0,0,0%,5219,31,0%,464,8%,766,8%,11%
TRI,2809,2%,5,5,3,9,2,14,0,0,0,0,0,0,47,7,-10,-700,60,150,0,0,75%,1023,27,2%,191,18%,364,8%,11%
UEK,13789,2%,20,20,13,14,3,30,0,0,0,0,0,0,16,2,-2,-140,41,102,26,17420,25%,6988,58,0%,940,13%,506,8%,11%
WGK,451,5%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,67,167,9,6030,0%,61,23,37%,30,49%,136,8%,11%
AAV,109,2%,1,1,3,6,0,9,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,6,-0,-13%,7,114%,59,8%,11%
AGC,5769,2%,6,6,7,15,7,29,0,0,55,27,0,0,0,0,67,4690,0,0,0,0,0%,8546,16,0%,393,4%,1481,8%,11%
AHM,1250,2%,7,7,7,12,0,19,0,0,0,0,0,0,0,0,-26,-1820,0,0,0,0,0%,210,-3,-1%,85,40%,168,8%,11%
ARN,4109,2%,8,8,7,9,1,17,0,0,0,0,0,0,75,11,8,560,0,0,15,10050,0%,3790,30,0%,280,7%,922,8%,11%
ATL,6736,2%,4,4,5,13,3,21,94,94000,0,0,126,1260,0,0,-26,-1820,0,0,0,0,0%,5839,173,2%,459,7%,866,8%,11%
AUC,4970,2%,15,15,9,19,11,39,20,20000,20,10,0,0,0,0,75,5250,0,0,0,0,0%,8828,66,0%,339,3%,1776,8%,11%
AUF,1400,2%,5,5,1,6,3,10,0,0,32,16,0,0,0,0,-14,-980,0,0,72,48240,25%,315,59,18%,95,30%,225,8%,11%
BTR,18657,6%,25,25,8,24,5,37,28,28000,0,0,0,0,45,6,16,1120,0,0,67,44890,25%,10174,290,2%,1273,12%,545,8%,11%
CPF,6211,6%,7,7,7,11,6,24,4,4000,0,0,0,0,0,0,7,490,0,0,0,0,0%,6242,7,0%,423,6%,1004,8%,11%
CUL,109,6%,1,1,4,5,0,9,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,6,-0,-9%,7,110%,61,8%,11%
ETV,363,2%,1,1,3,4,2,9,47,47000,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,69,37,53%,24,35%,189,8%,11%
FLU,306,3%,2,2,4,6,0,10,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,20,-0,-4%,20,100%,67,8%,11%
