Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2702,2702,0,5%,7,7,7,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,20,3,-12,-840,35,87,9,6030,25%,504,14,2%,158,31%,186,10%,14%
DOO,935,935,0,2%,7,7,7,1,0,2,3,0,5,8,8,0,6,3300,0,0,0,0,0,0,-10,-700,0,0,8,5360,25%,56,4,7%,42,74%,60,10%,14%
DTP,944,944,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,204,-0,-0%,81,39%,216,10%,14%
FDN,1065,1065,0,2%,6,7,6,1,0,4,7,4,15,15,15,0,3,1650,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,260,0,0%,55,21%,244,10%,14%
HYP,333,333,0,5%,2,2,2,1,0,3,4,0,7,7,7,0,0,0,15,7,0,0,0,0,-8,-560,0,0,8,5360,0%,30,3,10%,24,79%,91,10%,14%
INH,1624,1624,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,330,-0,-0%,133,40%,203,10%,14%
KST,285,285,0,5%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,43,-0,-0%,13,30%,151,10%,14%
LLD,6464,6464,0,2%,6,6,6,1,0,5,9,2,16,16,16,0,0,0,18,9,0,0,0,0,12,840,0,0,0,0,-5%,1900,2,0%,467,24%,294,10%,14%
MLB,74,74,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,6,3,52%,2,43%,82,10%,14%
MTR,1750,1750,0,2%,5,8,5,1,0,4,8,1,13,13,13,0,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,381,-0,-0%,130,34%,218,10%,14%
NLL,252,252,0,4%,2,16,2,1,0,9,4,0,13,13,8,0,0,0,5,2,0,0,0,0,7,490,-2,-5,9,6030,0%,17,3,20%,12,74%,68,10%,14%
OAK,91327,91327,0,2%,66,66,66,0,0,53,324,38,415,314,314,0,146,167900,487,243,9,90,220,33,908,63560,367,917,519,347730,50%,66576,37791,56%,3494,5%,728,10%,14%
PLK,363,363,0,5%,2,4,2,0,1,4,4,0,8,8,8,0,0,0,0,0,0,0,8,1,-8,-560,10,25,0,0,0%,28,1,6%,24,83%,79,10%,14%
SHT,658,658,0,2%,4,7,4,1,0,5,7,0,12,12,12,0,10,5500,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,49,8,17%,33,67%,75,10%,14%
TAM,14516,14516,0,2%,24,24,24,0,0,6,31,2,39,39,39,0,0,0,0,0,0,0,88,13,-37,-2590,0,0,8,5360,0%,2639,66,2%,292,11%,181,10%,14%
TPD,566,566,0,2%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,14,2,-8,-560,23,57,7,4690,25%,63,6,10%,43,68%,111,10%,14%
TPP,14606,14606,0,4%,28,28,28,1,1,9,9,0,18,18,16,0,0,0,56,28,0,0,0,0,20,1400,0,0,9,6030,0%,1787,12,0%,913,51%,122,10%,14%
TRH,9280,9280,0,5%,12,29,12,1,0,6,13,0,19,21,21,0,6,6000,0,0,0,0,35,5,52,3640,61,152,4,2680,0%,2256,65,2%,532,23%,243,10%,14%
