Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2805,2805,0,5%,7,7,7,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,22,3,-12,-840,37,92,9,6030,0%,515,16,3%,161,31%,183,14%,19%
DOO,965,965,0,2%,7,7,7,1,0,2,3,0,5,8,8,0,6,5100,0,0,0,0,0,0,-10,-700,0,0,9,6030,0%,60,6,10%,42,71%,62,14%,19%
DTP,977,977,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,219,3,1%,82,37%,224,14%,19%
FDN,1101,1101,0,4%,6,7,6,1,0,4,7,4,15,15,15,0,3,3000,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,273,2,0%,56,20%,248,14%,19%
HYP,344,344,0,5%,2,2,2,1,0,3,4,0,7,7,7,0,0,0,17,8,0,0,0,0,-8,-560,0,0,9,6030,0%,32,4,13%,24,76%,93,14%,19%
INH,1694,1694,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,352,-0,-0%,136,38%,208,14%,19%
KST,296,296,0,5%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,41,-0,-0%,13,32%,138,14%,19%
LLD,6715,6715,0,2%,6,6,6,1,0,8,8,2,18,18,18,0,0,0,19,9,0,0,0,0,19,1330,0,0,0,0,-5%,2575,3,0%,493,19%,383,14%,19%
MLB,76,76,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,6,3,54%,2,40%,87,14%,19%
MTR,1819,1819,0,3%,5,8,5,0,0,4,8,4,16,16,16,0,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,605,-0,-0%,133,22%,332,14%,19%
NLL,261,261,0,4%,2,16,2,1,0,9,6,0,15,15,10,0,0,0,6,3,0,0,0,0,4,280,-2,-5,12,8040,0%,22,6,29%,14,64%,84,14%,19%
OAK,93740,93740,0,2%,66,66,66,1,0,69,378,38,485,371,371,0,169,219700,586,293,10,100,259,38,1058,74060,430,1075,649,434830,50%,113799,73846,64%,3550,3%,1213,14%,19%
PLK,376,376,0,5%,2,4,2,0,0,4,4,0,8,8,8,0,0,0,0,0,0,0,9,1,-8,-560,11,27,0,0,0%,30,2,8%,24,81%,80,14%,19%
SHT,680,680,0,2%,4,7,4,1,0,5,7,0,12,12,12,0,11,11000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,57,15,26%,34,58%,85,14%,19%
TAM,14938,14938,0,2%,24,24,24,1,0,7,32,2,41,41,41,0,0,0,0,0,0,0,106,15,-12,-840,0,0,9,6030,0%,4255,141,3%,321,7%,284,14%,19%
TPD,586,586,0,2%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,15,2,-8,-560,24,60,7,4690,0%,65,7,11%,43,66%,111,14%,19%
TPP,15243,15243,0,4%,28,28,28,1,1,9,11,0,20,20,18,0,0,0,60,30,0,0,0,0,18,1260,0,0,9,6030,0%,1872,17,0%,937,50%,122,14%,19%
TRH,9619,9619,0,4%,12,29,12,1,0,6,13,0,19,21,21,0,8,8000,0,0,0,0,45,6,75,5250,80,200,14,9380,0%,2529,128,5%,542,21%,262,14%,19%
TRI,3000,3000,0,2%,7,7,7,1,0,3,5,3,11,13,13,0,0,0,0,0,0,0,52,7,-12,-840,86,215,9,6030,0%,916,31,3%,242,26%,305,14%,19%
UEK,12004,12004,0,7%,11,21,11,0,0,6,7,3,16,16,16,0,0,0,0,0,0,0,0,0,1,70,1,2,11,7370,0%,2592,11,0%,669,25%,215,14%,19%
WGK,475,475,0,2%,4,4,4,1,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-980,76,190,0,0,0%,101,16,16%,32,32%,212,14%,19%
AAV,114,114,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,75%,23,-0,-1%,10,43%,202,14%,19%
AGC,6118,6118,0,2%,6,6,6,1,0,7,12,11,30,30,29,0,0,0,63,31,0,0,0,0,76,5320,0,0,0,0,0%,3213,14,0%,257,7%,525,14%,19%
AHM,1314,1314,0,2%,7,7,7,0,0,12,11,0,23,26,26,0,0,0,0,0,0,0,0,0,-26,-1820,0,0,0,0,0%,160,-1,-1%,87,54%,122,14%,19%
ARN,4379,4379,0,2%,8,14,8,1,0,7,9,8,24,24,24,0,0,0,0,0,0,0,77,11,9,630,0,0,31,20770,0%,2137,44,2%,235,11%,488,14%,19%
ATL,7151,7151,0,2%,4,4,4,1,0,5,13,7,25,25,24,0,115,166750,0,0,155,1550,0,0,-26,-1820,0,0,0,0,0%,3869,600,15%,173,4%,541,14%,19%
AUC,5284,5284,0,2%,15,15,15,1,0,19,20,13,52,46,45,0,21,23100,21,10,0,0,0,0,102,7140,0,0,0,0,0%,3247,70,2%,327,10%,614,14%,19%
AUF,1486,1486,0,2%,5,5,5,1,0,1,6,3,10,17,16,0,0,0,38,19,0,0,0,0,-18,-1260,0,0,78,52260,0%,453,51,11%,107,23%,305,14%,19%
BTR,19747,19747,0,2%,25,25,25,0,0,14,22,5,41,41,41,0,32,38400,0,0,0,0,54,8,32,2240,0,0,78,52260,0%,3291,291,8%,1210,36%,166,14%,19%
CUL,114,114,0,3%,1,3,1,0,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,3,2,79%,0,14%,30,14%,19%
