# 1:00, 1 Incarnatio(1), 1728 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2602,2%,7,7,3,4,0,7,0,0,0,0,0,0,14,2,-8,-560,24,60,0,0,50%,573,6,1%,175,30%,220,7%,9%
BHK,5742,3%,14,14,6,14,3,23,2,2000,3,1,0,0,58,8,-16,-1120,36,90,32,21440,50%,3898,66,1%,387,9%,835,7%,9%
DOO,906,2%,7,7,1,4,0,5,4,4000,0,0,0,0,0,0,-12,-840,0,0,0,0,25%,83,3,3%,61,73%,91,7%,9%
DTP,915,2%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,70%,92,-0,-0%,61,66%,101,7%,9%
FDN,1030,2%,6,6,4,7,4,15,3,3000,0,0,0,0,0,0,-14,-980,0,0,0,0,75%,130,2,1%,69,53%,126,7%,9%
HNT,2987,2%,4,4,3,8,0,11,6,6000,0,0,0,0,0,0,25,1750,0,0,0,0,75%,898,9,1%,201,22%,300,7%,9%
HYP,322,2%,2,2,3,6,0,9,0,0,15,7,0,0,0,0,-10,-700,0,0,0,0,75%,22,0,0%,21,95%,70,7%,9%
INH,1564,2%,3,3,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,212,-0,-0%,105,49%,135,7%,9%
KST,275,2%,2,2,4,5,0,9,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,18,-0,-3%,18,100%,66,7%,9%
LLD,6229,2%,6,6,4,8,0,12,0,0,22,11,0,0,0,0,10,700,0,0,0,0,25%,3149,2,0%,420,13%,505,7%,9%
MLB,72,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,2,1340,25%,5,0,10%,4,87%,77,7%,9%
MTR,1681,6%,5,5,3,6,1,10,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,50%,260,-0,-0%,113,43%,155,7%,9%
NLL,243,2%,2,2,4,4,0,8,0,0,5,2,0,0,0,0,-6,-420,0,0,10,6700,75%,23,5,23%,16,70%,95,7%,9%
