# 1:00, 1 Incarnatio(1), 1733 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2854,2%,7,7,3,5,2,10,0,0,0,0,0,0,20,3,-10,-700,33,82,9,6030,0%,1027,14,1%,203,19%,359,16%,21%
DOO,986,2%,7,7,1,4,0,5,6,6000,0,0,0,0,0,0,-12,-840,0,0,9,6030,0%,111,11,10%,70,62%,113,16%,21%
DTP,1003,5%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,-5%,111,-0,-0%,71,64%,111,16%,21%
FDN,1120,2%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,165,10,6%,79,48%,147,16%,21%
HYP,350,2%,2,2,3,5,0,8,0,0,17,8,0,0,0,0,-10,-700,0,0,0,0,0%,26,0,0%,25,94%,75,16%,21%
INH,1740,4%,3,3,5,4,2,11,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,296,3,1%,124,41%,170,16%,21%
KST,302,4%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,21,-0,-3%,21,99%,71,16%,21%
LLD,6840,3%,6,6,5,12,2,19,0,0,33,16,0,0,0,0,16,1120,0,0,9,6030,0%,6466,21,0%,488,7%,945,16%,21%
MLB,78,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,11,4,37%,5,50%,141,16%,21%
NLL,266,4%,2,2,9,5,0,14,0,0,8,4,0,0,0,0,13,910,-2,-5,15,10050,0%,31,9,30%,19,59%,119,16%,21%
