# 1:00, 1 Incarnatio(1), 1726 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2517,2%,7,7,3,3,0,6,0,0,0,0,0,0,14,2,-6,-420,23,57,0,0,50%,461,4,1%,165,35%,183,3%,4%
BHK,4507,3%,14,14,5,11,3,19,2,2000,0,0,0,0,57,8,-8,-560,35,87,38,25460,50%,4654,71,1%,297,6%,1032,3%,4%
COA,21349,3%,9,10,21,25,6,52,27,27000,131,65,0,0,0,0,339,23730,37,92,199,133330,0%,12873,593,4%,1407,10%,671,3%,4%
DOO,875,0%,7,7,1,3,0,4,4,4000,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,74,2,3%,57,77%,85,3%,4%
DTP,883,1%,2,2,4,2,2,8,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,45%,79,-0,-0%,58,73%,90,3%,4%
FDN,994,1%,6,6,2,7,2,11,3,3000,0,0,0,0,0,0,-14,-980,0,0,0,0,75%,98,2,2%,65,66%,98,3%,4%
HNT,2885,1%,4,4,3,4,0,7,4,4000,0,0,0,0,0,0,22,1540,0,0,0,0,50%,632,4,0%,190,30%,219,3%,4%
HYP,311,0%,2,2,3,5,0,8,0,0,11,5,0,0,0,0,-10,-700,0,0,0,0,50%,21,-0,-0%,20,97%,67,3%,4%
INH,1506,1%,3,3,3,2,2,7,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,187,-0,-0%,99,52%,124,3%,4%
KST,266,0%,2,2,4,3,0,7,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,17,-0,-1%,17,99%,66,3%,4%
LLD,6018,1%,6,6,3,7,0,10,0,0,21,10,0,0,0,0,10,700,0,0,0,0,50%,2404,2,0%,396,16%,399,3%,4%
MLB,69,0%,1,1,1,3,0,4,0,0,0,0,0,0,0,0,-6,-420,0,0,1,670,50%,4,0,3%,4,96%,68,3%,4%
MTR,1627,1%,5,5,3,5,1,9,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,222,-0,-0%,107,48%,136,3%,4%
NLL,236,1%,2,2,4,2,0,6,0,0,4,2,0,0,0,0,-3,-210,0,0,8,5360,50%,19,2,14%,15,81%,80,3%,4%
OAK,56943,1%,39,38,26,187,19,232,77,77000,78,39,0,0,88,13,1388,97160,470,1175,171,114570,50%,47400,9870,20%,3753,7%,832,3%,4%
PLK,337,1%,2,2,4,2,0,6,0,0,0,0,0,0,5,0,-4,-280,6,15,0,0,50%,24,1,4%,22,91%,71,3%,4%
SHT,617,2%,4,4,5,5,0,10,7,7000,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,54,5,10%,40,74%,88,3%,4%
TAM,13470,3%,24,24,6,27,0,33,0,0,0,0,0,0,83,12,-19,-1330,0,0,0,0,50%,6505,42,0%,887,13%,482,3%,4%
TPD,530,1%,3,3,1,3,0,4,0,0,0,0,0,0,10,1,-8,-560,16,40,4,2680,50%,43,6,14%,34,80%,81,3%,4%
