# 1:00, 1 Incarnatio(1), 1725 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2472,0%,7,7,2,3,0,5,0,0,0,0,0,0,9,1,-6,-420,15,37,0,0,50%,353,3,0%,161,45%,142,1%,2%
BHK,4427,3%,14,14,3,9,3,15,1,1000,0,0,0,0,38,5,-8,-560,22,55,25,16750,50%,3185,38,1%,288,9%,719,1%,2%
COA,21064,3%,9,10,21,24,5,50,24,24000,131,65,0,0,0,0,336,23520,37,92,196,131320,0%,12370,566,4%,1371,11%,654,1%,2%
DOO,859,0%,7,7,0,2,0,2,3,3000,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,63,1,2%,55,88%,73,1%,2%
DTP,867,0%,2,2,2,1,2,5,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,45%,67,-0,-0%,56,83%,78,1%,2%
FDN,976,0%,6,6,2,5,2,9,2,2000,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,86,1,1%,63,73%,88,1%,2%
HNT,2832,0%,4,4,2,3,0,5,3,3000,0,0,0,0,0,0,10,700,-2,-5,0,0,50%,428,1,0%,184,43%,151,1%,2%
HYP,306,0%,2,2,1,2,0,3,0,0,8,4,0,0,0,0,-4,-280,0,0,0,0,50%,20,0,0%,19,98%,66,1%,2%
INH,1479,0%,3,3,1,2,0,3,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,119,-0,-0%,96,80%,80,1%,2%
KST,262,0%,2,2,3,3,0,6,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,17,-0,-1%,17,99%,65,1%,2%
LLD,5908,0%,6,6,2,4,0,6,0,0,14,7,0,0,0,0,7,490,0,0,0,0,50%,1650,0,0%,384,23%,279,1%,2%
MLB,68,0%,1,1,0,2,0,2,0,0,0,0,0,0,0,0,-4,-280,0,0,1,670,50%,4,0,4%,4,95%,68,1%,2%
MTR,1597,1%,5,5,2,5,1,8,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,187,-0,-0%,104,55%,117,1%,2%
NLL,231,1%,2,2,4,1,0,5,0,0,3,1,0,0,0,0,-1,-70,0,0,5,3350,50%,16,1,8%,15,90%,71,1%,2%
OAK,56392,1%,39,38,19,171,17,207,77,77000,78,39,0,0,88,13,1380,96600,470,1175,159,106530,50%,41561,9220,22%,3673,8%,737,1%,2%
PLK,331,1%,2,2,2,2,0,4,0,0,0,0,0,0,4,0,-4,-280,5,12,0,0,50%,22,0,3%,21,94%,69,1%,2%
SHT,606,1%,4,4,4,4,0,8,5,5000,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,48,3,7%,39,81%,79,1%,2%
TAM,13230,3%,24,24,5,24,0,29,0,0,0,0,0,0,63,9,-23,-1610,0,0,0,0,50%,5569,26,0%,861,15%,420,1%,2%
TPD,520,1%,3,3,1,1,0,2,0,0,0,0,0,0,7,1,-4,-280,12,30,3,2010,50%,38,3,8%,33,89%,73,1%,2%
TPP,13195,3%,28,28,4,6,0,10,0,0,34,17,0,0,0,0,9,630,-4,-10,0,0,50%,2975,1,0%,859,28%,225,1%,2%
TRH,6443,3%,4,4,3,10,0,13,7,7000,0,0,0,0,27,4,64,4480,45,112,0,0,0%,2978,39,1%,419,14%,462,1%,2%
TRI,2612,1%,5,5,1,3,0,4,0,0,0,0,0,0,25,3,-4,-280,32,80,0,0,50%,309,6,2%,170,55%,118,1%,2%
UEK,12803,3%,19,19,6,6,3,15,0,0,0,0,0,0,6,0,-1,-70,18,45,16,10720,25%,4464,16,0%,834,18%,348,1%,2%
WGK,421,1%,4,4,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,43,107,0,0,50%,37,8,22%,27,73%,88,1%,2%
AAV,101,0%,1,1,1,2,0,3,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,6,-0,-2%,6,102%,63,1%,2%
AGC,5350,2%,6,6,5,11,5,21,0,0,30,15,0,0,0,0,44,3080,0,0,0,0,50%,4922,6,0%,348,7%,920,1%,2%
AHM,1167,3%,7,7,7,8,0,15,0,0,0,0,0,0,0,0,-18,-1260,0,0,0,0,25%,144,-1,-1%,76,52%,123,1%,2%
ARN,3802,1%,8,8,5,8,1,14,0,0,0,0,0,0,36,5,0,0,0,0,9,6030,50%,2044,13,0%,247,12%,537,1%,2%
ATL,6264,2%,4,4,4,20,3,27,57,57000,0,0,77,770,0,0,-18,-1260,0,0,0,0,50%,4181,125,2%,408,9%,667,1%,2%
AUC,4614,2%,15,15,6,15,7,28,12,12000,12,6,0,0,0,0,39,2730,0,0,0,0,50%,5286,32,0%,300,5%,1145,1%,2%
AUF,1308,1%,5,5,1,3,1,5,0,0,17,8,0,0,0,0,-10,-700,0,0,43,28810,50%,180,27,15%,85,47%,138,1%,2%
BTR,17291,3%,25,25,5,14,3,22,16,16000,0,0,0,0,25,3,7,490,0,0,37,24790,50%,5590,94,1%,1126,20%,323,1%,2%
CPF,330,3%,1,1,5,1,0,6,0,0,0,0,0,0,0,0,6,420,0,0,0,0,0%,22,0,0%,21,95%,67,1%,2%
CUL,102,3%,1,1,3,2,0,5,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,6,-0,-2%,6,102%,63,1%,2%
ETV,340,0%,1,1,2,3,0,5,24,24000,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,35,12,35%,22,62%,104,1%,2%
FLU,286,3%,2,2,1,3,0,4,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,18,-0,-1%,18,100%,64,1%,2%
FRO,489,3%,3,3,2,4,0,6,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,33,-0,-1%,31,95%,68,1%,2%
JIN,578,2%,1,1,2,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25%,40,0,0%,37,92%,70,1%,2%
KHM,6498,3%,13,13,4,8,0,12,0,0,0,0,0,0,0,0,3,210,0,0,29,19430,50%,3634,34,0%,423,11%,559,1%,2%
KKV,509,0%,1,1,0,2,0,2,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,33,-0,-0%,33,99%,65,1%,2%
KSA,4179,3%,8,8,5,5,4,14,3,3000,6,3,19,190,0,0,10,700,0,0,0,0,50%,3518,3,0%,272,7%,841,1%,2%
LNV,340,0%,1,1,2,2,0,4,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,22,-0,-0%,22,98%,66,1%,2%
LOC,102,2%,1,1,3,2,0,5,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,25%,6,-0,-2%,6,101%,63,1%,2%
MES,821,3%,1,1,3,3,0,6,0,0,0,0,0,0,0,0,-6,-420,0,0,24,16080,50%,74,10,14%,53,72%,90,1%,2%
