Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3241,4%,7,7,1,1,1,39,2,42,0,0,0,0,0,0,0,27,4,-85,-5950,43,107,12,8040,0%,707,44,6%,124,17%,218,30%,40%
COA,105808,1%,62,62,1,1,63,1842,35,1940,0,675,2733750,765,382,66,660,939,140,3428,239960,1647,4117,1656,1109520,75%,1224275,972443,79%,2407,0%,11570,30%,40%
FDN,982,4%,5,5,0,0,1,21,3,25,0,4,4000,0,0,0,0,0,0,-56,-3920,0,0,11,7370,0%,205,10,5%,34,16%,208,30%,40%
HNT,4077,4%,6,6,1,0,2,22,3,27,0,16,16000,0,0,0,0,0,0,6,420,-4,-10,12,8040,0%,1243,42,3%,205,16%,304,30%,40%
INH,3269,4%,6,6,0,0,0,46,3,49,0,0,0,0,0,0,0,0,0,-130,-9100,0,0,9,6030,0%,968,-9,-0%,176,18%,296,30%,40%
NLL,10557,9%,16,16,0,0,7,131,6,144,0,0,0,74,37,0,0,25,3,-299,-20930,39,97,30,20100,0%,3988,145,3%,508,12%,377,30%,40%
PLK,433,7%,2,2,0,0,0,20,0,20,0,0,0,0,0,0,0,11,1,-54,-3780,14,35,11,7370,0%,36,11,32%,20,55%,83,30%,40%
SHT,1138,3%,7,7,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,-80,-5600,0,0,0,0,0%,33,-11,-33%,33,100%,29,30%,40%
TAM,17500,4%,24,24,1,1,1,216,2,219,0,0,0,0,0,0,0,48,7,-530,-37100,-2,-5,0,0,0%,7676,-594,-7%,269,3%,438,30%,40%
TPP,17718,7%,28,28,0,0,0,152,2,154,0,0,0,104,52,0,0,0,0,-333,-23310,0,0,11,7370,0%,2913,-113,-3%,810,27%,164,30%,40%
TRH,11213,6%,13,13,1,0,0,99,0,99,0,0,0,0,0,0,0,13,1,-198,-13860,16,40,11,7370,0%,3138,-4,-0%,430,13%,279,30%,40%
