Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3421,4%,7,7,1,1,1,46,2,49,0,0,0,0,0,0,0,51,7,-89,-6230,85,212,12,8040,0%,921,94,10%,150,16%,269,35%,47%
COA,112423,1%,62,62,1,1,214,2052,32,2298,0,921,3407700,1314,657,69,690,1440,216,3562,249340,2123,5307,2489,1667630,75%,1861164,1435454,77%,2696,0%,16554,35%,47%
FDN,1032,4%,5,5,0,0,1,25,3,29,0,8,8000,0,0,0,0,0,0,-62,-4340,0,0,11,7370,0%,235,18,7%,38,16%,228,35%,47%
HNT,4292,4%,6,6,1,0,2,24,3,29,0,24,31200,0,0,0,0,0,0,9,630,-4,-10,12,8040,0%,1432,77,5%,233,16%,333,35%,47%
INH,3450,4%,6,6,0,0,0,52,3,55,0,0,0,0,0,0,0,0,0,-148,-10360,0,0,11,7370,0%,1169,-10,-0%,210,17%,339,35%,47%
NLL,11190,9%,16,16,0,0,25,98,6,129,0,0,0,84,42,0,0,39,5,-204,-14280,64,160,34,22780,0%,4869,251,5%,555,11%,435,35%,47%
PLK,456,5%,2,2,0,0,0,21,0,21,0,0,0,0,0,0,0,12,1,-56,-3920,15,37,11,7370,0%,40,12,32%,22,54%,87,35%,47%
SHT,1197,2%,7,7,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,-90,-6300,0,0,0,0,0%,39,-14,-37%,39,99%,32,35%,47%
TAM,18470,4%,24,24,1,1,21,190,2,213,0,0,0,0,0,0,0,111,16,-462,-32340,-2,-5,0,0,0%,14507,-223,-1%,291,2%,785,35%,47%
TPP,18701,7%,28,28,0,0,0,184,2,186,0,0,0,119,59,0,0,0,0,-419,-29330,0,0,11,7370,0%,3163,-202,-6%,903,28%,169,35%,47%
TRH,11824,6%,13,13,1,0,0,116,0,116,0,0,0,0,0,0,0,13,1,-238,-16660,16,40,11,7370,0%,3501,-31,-0%,478,13%,296,35%,47%
