Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3185,4%,7,7,1,1,1,34,2,37,0,0,0,0,0,0,0,27,4,-73,-5110,43,107,12,8040,0%,676,41,6%,122,18%,212,28%,38%
COA,103698,1%,62,62,1,1,62,1729,35,1826,0,675,2733750,762,381,53,530,939,140,3417,239190,1628,4070,1649,1104830,75%,1164045,922675,79%,2369,0%,11225,28%,38%
FDN,966,4%,5,5,0,0,1,19,3,23,0,4,4000,0,0,0,0,0,0,-50,-3500,0,0,11,7370,0%,197,10,5%,33,17%,204,28%,38%
HNT,4007,4%,6,6,1,0,2,19,3,24,0,12,12000,0,0,0,0,0,0,-7,-490,-4,-10,12,8040,0%,1211,30,2%,202,16%,302,28%,38%
INH,3212,5%,6,6,0,0,0,40,3,43,0,0,0,0,0,0,0,0,0,-112,-7840,0,0,8,5360,0%,933,-6,-0%,174,18%,290,28%,38%
NLL,10353,9%,16,16,0,0,6,116,6,128,0,0,0,69,34,0,0,25,3,-267,-18690,39,97,30,20100,0%,3959,147,3%,500,12%,382,28%,38%
PLK,426,6%,2,2,0,0,0,19,0,19,0,0,0,0,0,0,0,11,1,-52,-3640,14,35,11,7370,0%,36,11,32%,19,55%,84,28%,38%
SHT,1120,3%,7,7,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,-76,-5320,0,0,0,0,0%,33,-10,-30%,33,98%,30,28%,38%
TAM,17188,4%,24,24,1,0,1,175,2,178,0,0,0,0,0,0,0,48,7,-442,-30940,-2,-5,0,0,0%,7841,-417,-5%,263,3%,456,28%,38%
TPP,17402,7%,28,28,0,0,0,126,2,128,0,0,0,76,38,0,0,0,0,-269,-18830,0,0,11,7370,0%,2761,-68,-2%,767,27%,158,28%,38%
TRH,11022,6%,13,13,1,0,0,88,0,88,0,0,0,0,0,0,0,13,1,-174,-12180,16,40,11,7370,0%,3032,8,0%,424,14%,275,28%,38%
TRI,3455,3%,7,7,0,0,0,49,3,52,0,0,0,0,0,0,0,59,8,-142,-9940,94,235,0,0,0%,1148,73,6%,186,16%,332,28%,38%
UEK,13726,7%,12,12,1,0,2,92,7,101,0,0,0,0,0,0,0,0,0,-195,-13650,1,2,25,16750,0%,4464,25,0%,543,12%,325,28%,38%
WGK,541,3%,4,4,0,0,0,27,2,29,0,0,0,0,0,0,0,0,0,-72,-5040,86,215,0,0,0%,120,29,24%,24,20%,222,28%,38%
AAV,134,4%,1,1,0,0,3,6,2,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,26,2,10%,8,33%,198,28%,38%
AGC,7259,2%,6,6,0,0,12,10,14,36,0,0,0,57,28,0,0,0,0,74,5180,0,0,0,0,0%,4508,9,0%,202,4%,621,28%,38%
AHM,1550,3%,7,7,0,0,15,11,0,26,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,194,-1,-0%,69,35%,125,28%,38%
