Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3078,4%,7,7,1,1,1,32,2,35,0,0,0,0,0,0,0,24,3,-69,-4830,38,95,11,7370,0%,624,34,5%,119,19%,202,25%,33%
COA,99604,1%,62,62,1,0,66,1206,35,1307,0,569,2048400,762,381,47,470,869,130,3479,243530,1531,3827,1452,972840,75%,722697,567287,78%,2293,0%,7255,25%,33%
FDN,935,4%,5,5,0,0,1,18,3,22,0,4,4000,0,0,0,0,0,0,-48,-3360,0,0,11,7370,0%,189,10,5%,32,17%,202,25%,33%
HNT,3872,4%,6,6,1,0,2,17,3,22,0,12,12000,0,0,0,0,0,0,-5,-350,-4,-10,12,8040,0%,1126,27,2%,190,16%,290,25%,33%
INH,3108,5%,6,6,0,0,0,32,3,35,0,0,0,0,0,0,0,0,0,-90,-6300,0,0,8,5360,0%,847,-2,-0%,169,20%,272,25%,33%
NLL,9949,7%,16,16,0,0,6,109,6,121,0,0,0,51,25,0,0,25,3,-251,-17570,39,97,30,20100,0%,3743,139,3%,468,12%,376,25%,33%
PLK,412,6%,2,2,0,0,0,18,0,18,0,0,0,0,0,0,0,10,1,-48,-3360,13,32,10,6700,0%,33,10,30%,19,58%,80,25%,33%
SHT,1082,2%,7,7,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,-72,-5040,0,0,0,0,0%,33,-9,-27%,32,96%,30,25%,33%
TAM,16609,4%,24,24,1,0,1,152,2,155,0,0,0,0,0,0,0,48,7,-400,-28000,-2,-5,0,0,0%,6851,-317,-4%,235,3%,412,25%,33%
TPP,16787,7%,28,28,0,0,0,106,2,108,0,0,0,0,0,0,0,0,0,-280,-19600,0,0,10,6700,0%,2221,-95,-4%,690,31%,132,25%,33%
TRH,10651,6%,13,13,1,0,0,72,0,72,0,0,0,0,0,0,0,13,1,-136,-9520,16,40,11,7370,0%,2463,23,0%,413,16%,231,25%,33%
TRI,3329,3%,7,7,0,0,0,38,3,41,0,0,0,0,0,0,0,0,0,-114,-7980,18,45,0,0,0%,954,-9,-0%,181,19%,286,25%,33%
UEK,13257,7%,12,12,1,0,2,81,7,90,0,0,0,0,0,0,0,0,0,-171,-11970,1,2,21,14070,0%,3836,15,0%,498,12%,289,25%,33%
WGK,523,2%,4,4,0,0,0,26,2,28,0,0,0,0,0,0,0,0,0,-70,-4900,0,0,0,0,0%,71,-8,-11%,23,33%,135,25%,33%
AAV,129,4%,1,1,0,0,3,5,2,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,24,2,10%,7,31%,188,25%,33%
AGC,6934,2%,6,6,0,0,11,10,14,35,0,0,0,57,28,0,0,0,0,74,5180,0,0,0,0,0%,4169,9,0%,195,4%,601,25%,33%
AHM,1491,2%,7,7,0,0,15,11,0,26,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,179,-1,-0%,67,37%,120,25%,33%
ARN,4982,2%,8,8,1,0,7,8,8,23,0,0,0,0,0,0,0,93,13,16,1120,0,0,20,13400,0%,2195,25,1%,176,8%,440,25%,33%
ATL,7997,5%,4,4,0,0,7,12,6,25,0,135,249750,0,0,180,1800,0,0,-24,-1680,0,0,0,0,0%,3511,467,13%,130,3%,439,25%,33%
