Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2974,4%,7,7,1,0,1,25,2,28,0,0,0,0,0,0,0,0,0,-51,-3570,-2,-5,11,7370,0%,543,5,1%,116,21%,182,21%,28%
COA,95688,1%,62,62,1,0,100,963,34,1097,0,324,599400,529,264,26,260,641,96,2377,166390,1154,2885,926,620420,75%,312726,219559,70%,2222,0%,3268,21%,28%
FDN,904,4%,5,5,0,0,3,5,3,11,0,4,4000,0,0,0,0,0,0,-10,-700,0,0,11,7370,0%,173,5,3%,31,17%,192,21%,28%
HNT,3743,4%,6,6,0,0,2,15,3,20,0,12,12000,0,0,0,0,0,0,1,70,-4,-10,12,8040,0%,1064,25,2%,186,17%,284,21%,28%
INH,3008,5%,6,6,0,0,0,10,3,13,0,0,0,0,0,0,0,0,0,-30,-2100,0,0,8,5360,0%,776,3,0%,165,21%,258,21%,28%
NLL,9568,8%,16,16,0,0,6,93,6,105,0,0,0,48,24,0,0,23,3,-211,-14770,37,92,29,19430,0%,3496,126,3%,452,12%,365,21%,28%
PLK,398,6%,2,2,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,-42,-2940,0,0,9,6030,0%,25,3,14%,18,75%,63,21%,28%
SHT,1046,2%,7,7,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,-54,-3780,0,0,0,0,0%,35,-5,-14%,31,87%,34,21%,28%
TAM,16049,4%,24,24,1,0,1,121,2,124,0,0,0,0,0,0,0,48,7,-324,-22680,-2,-5,0,0,0%,5866,-196,-3%,229,3%,365,21%,28%
TPP,16220,7%,28,28,0,1,0,28,2,30,0,0,0,0,0,0,0,0,0,-74,-5180,0,0,10,6700,0%,1745,3,0%,672,38%,107,21%,28%
TRH,10298,7%,13,13,1,0,0,60,0,60,0,0,0,0,0,0,0,13,1,-110,-7700,16,40,11,7370,0%,2283,29,1%,403,17%,221,21%,28%
TRI,3218,3%,7,7,0,0,0,16,3,19,0,0,0,0,0,0,0,0,0,-48,-3360,18,45,0,0,0%,925,1,0%,177,19%,287,21%,28%
UEK,12810,7%,12,12,1,0,1,72,7,80,0,0,0,0,0,0,0,0,0,-170,-11900,2,5,18,12060,0%,3628,4,0%,485,13%,283,21%,28%
WGK,506,3%,4,4,1,0,0,10,2,12,0,0,0,0,0,0,0,0,0,-28,-1960,0,0,0,0,0%,75,-1,-2%,22,30%,149,21%,28%
AAV,124,4%,1,1,0,0,3,5,2,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,23,2,10%,7,31%,186,21%,28%
AGC,6633,2%,6,6,1,0,11,10,14,35,0,0,0,65,32,0,0,0,0,87,6090,0,0,0,0,0%,4231,11,0%,188,4%,637,21%,28%
AHM,1433,2%,7,7,0,0,15,11,0,26,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,166,-1,-0%,65,39%,116,21%,28%
ARN,4770,2%,8,8,1,0,7,8,8,23,0,0,0,0,0,0,0,93,13,16,1120,0,0,20,13400,0%,2100,25,1%,170,8%,440,21%,28%
ATL,7709,5%,4,4,0,0,7,12,5,24,0,135,236250,0,0,180,1800,0,0,-24,-1680,0,0,0,0,0%,3287,449,13%,126,3%,426,21%,28%
AUC,5741,2%,15,15,1,0,24,8,15,47,0,24,34800,24,12,0,0,0,0,155,10850,0,0,11,7370,0%,3992,40,1%,242,6%,695,21%,28%
AUF,1608,2%,5,5,1,0,1,6,3,10,0,0,0,41,20,0,0,0,0,-20,-1400,0,0,113,75710,0%,512,52,10%,78,15%,318,21%,28%
BTR,21442,3%,25,25,0,0,26,9,5,40,0,37,53650,0,0,0,0,61,9,66,4620,0,0,89,59630,0%,3341,112,3%,880,26%,155,21%,28%
CUL,122,4%,1,1,1,0,5,5,0,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,9,6030,0%,3,2,75%,0,10%,30,21%,28%
ETV,412,5%,1,1,0,0,3,6,2,11,0,70,122500,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,157,75,47%,27,17%,382,21%,28%
FLU,343,6%,2,2,0,0,6,4,0,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,18,2,12%,12,68%,53,21%,28%
FRO,595,2%,3,3,0,0,10,4,0,14,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,42,2,5%,28,67%,71,21%,28%
JIN,696,3%,1,1,0,0,9,6,0,15,0,0,0,0,0,0,0,11,1,9,630,0,0,11,7370,0%,87,6,6%,46,52%,126,21%,28%
KHM,8025,4%,13,13,0,0,5,12,2,19,0,0,0,0,0,0,0,0,0,25,1750,0,0,75,50250,0%,2042,78,3%,346,16%,254,21%,28%
