Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2653,2%,7,7,3,5,0,8,0,0,0,0,0,0,18,2,-10,-700,30,75,8,5360,25%,175,9,5%,107,61%,66,8%,11%
BHK,5938,2%,14,5,4,4,0,8,0,0,0,0,0,0,16,2,-6,-420,8,20,0,0,25%,221,2,0%,206,93%,46,8%,11%
COA,81497,1%,52,61,82,403,33,518,189,189000,254,127,0,0,257,38,978,68460,450,1125,442,296140,50%,65578,38233,58%,1805,2%,795,8%,11%
DTP,931,2%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,173,-0,-0%,54,31%,186,8%,11%
FDN,1044,3%,6,6,4,8,2,14,3,3000,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,142,1,0%,36,25%,136,8%,11%
HNT,3376,2%,6,6,2,4,2,8,5,2750,0,0,0,0,0,0,4,280,-2,-5,0,0,0%,645,1,0%,171,26%,191,8%,11%
HYP,328,2%,2,2,3,4,0,7,0,0,16,8,0,0,0,0,-8,-560,0,0,9,6030,25%,22,3,13%,16,72%,69,8%,11%
INH,1597,2%,3,3,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,283,-0,-0%,96,33%,177,8%,11%
KST,280,2%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,25%,35,-0,-1%,8,25%,125,8%,11%
LLD,6363,2%,6,6,4,8,2,14,0,0,22,11,0,0,0,0,11,770,0,0,0,0,25%,1460,2,0%,303,20%,229,8%,11%
MLB,73,4%,1,1,3,5,0,8,0,0,0,0,0,0,0,0,-10,-700,0,0,2,1340,0%,2,0,14%,1,82%,31,8%,11%
MTR,1712,2%,5,5,4,8,1,13,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,25%,315,-0,-0%,87,27%,184,8%,11%
NLL,248,2%,2,2,4,5,0,9,0,0,5,2,0,0,0,0,-8,-560,0,0,10,6700,0%,13,3,25%,9,66%,54,8%,11%
