Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,3025,4%,7,7,1,0,1,30,2,33,0,0,0,0,0,0,0,0,0,-63,-4410,-2,-5,11,7370,0%,563,5,0%,117,20%,186,23%,31%
COA,97618,1%,62,62,1,0,107,1065,34,1206,0,398,1134300,561,280,36,360,682,102,2554,178780,1229,3072,993,665310,75%,420516,316582,75%,2257,0%,4307,23%,31%
FDN,919,4%,5,5,0,0,1,15,3,19,0,4,4000,0,0,0,0,0,0,-40,-2800,0,0,11,7370,0%,183,9,5%,32,17%,199,23%,31%
HNT,3806,4%,6,6,1,0,2,16,3,21,0,12,12000,0,0,0,0,0,0,-3,-210,-4,-10,12,8040,0%,1108,26,2%,188,17%,291,23%,31%
INH,3058,5%,6,6,0,0,0,22,3,25,0,0,0,0,0,0,0,0,0,-64,-4480,0,0,8,5360,0%,830,1,0%,167,20%,271,23%,31%
NLL,9756,7%,16,16,0,0,6,100,6,112,0,0,0,51,25,0,0,25,3,-227,-15890,39,97,30,20100,0%,3596,141,3%,459,12%,368,23%,31%
PLK,405,6%,2,2,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,-46,-3220,0,0,8,5360,0%,24,2,10%,19,78%,60,23%,31%
SHT,1064,2%,7,7,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,-68,-4760,0,0,0,0,0%,33,-7,-23%,31,94%,31,23%,31%
TAM,16326,4%,24,24,1,0,1,136,2,139,0,0,0,0,0,0,0,48,7,-364,-25480,-2,-5,0,0,0%,6502,-258,-3%,232,3%,398,23%,31%
TPP,16501,7%,28,28,0,1,0,75,2,77,0,0,0,0,0,0,0,0,0,-200,-14000,0,0,10,6700,0%,2206,-41,-1%,681,30%,133,23%,31%
TRH,10470,6%,13,13,1,0,0,68,0,68,0,0,0,0,0,0,0,13,1,-128,-8960,16,40,11,7370,0%,2395,25,1%,408,17%,228,23%,31%
TRI,3272,3%,7,7,0,0,0,28,3,31,0,0,0,0,0,0,0,0,0,-86,-6020,18,45,0,0,0%,947,-3,-0%,179,18%,289,23%,31%
