Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2604,2%,7,7,3,5,0,8,0,0,0,0,0,0,18,2,-10,-700,30,75,0,0,25%,166,5,3%,105,63%,63,7%,9%
BHK,4671,3%,14,14,5,12,1,18,3,3000,0,0,0,0,80,12,-5,-350,43,107,45,30150,25%,763,61,8%,203,26%,163,7%,9%
COA,84961,2%,59,58,86,302,31,419,178,160200,294,147,0,0,141,21,938,65660,316,790,452,302840,50%,58250,28629,49%,1965,3%,689,7%,9%
DTP,916,2%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,163,-0,-0%,52,31%,177,7%,9%
FDN,1027,3%,6,6,4,6,2,12,2,2000,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,138,0,0%,36,26%,134,7%,9%
HYP,322,2%,2,2,3,4,0,7,0,0,15,7,0,0,0,0,-8,-560,0,0,0,0,25%,19,0,0%,16,84%,59,7%,9%
INH,1564,2%,3,3,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,272,-0,-0%,94,34%,174,7%,9%
KST,275,2%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,25%,33,-0,-1%,8,24%,123,7%,9%
LLD,6243,2%,6,6,4,7,2,13,0,0,22,11,0,0,0,0,13,910,0,0,0,0,25%,1329,2,0%,299,22%,212,7%,9%
MLB,72,2%,1,1,3,5,0,8,0,0,0,0,0,0,0,0,-10,-700,0,0,2,1340,25%,2,0,16%,1,81%,30,7%,9%
MTR,1682,2%,5,5,4,8,1,13,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,25%,303,-0,-0%,86,28%,180,7%,9%
NLL,243,2%,2,2,4,5,0,9,0,0,5,2,0,0,0,0,-8,-560,0,0,9,6030,0%,12,3,23%,8,69%,52,7%,9%
