Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2755,2%,7,7,3,5,2,10,0,0,0,0,0,0,20,3,-10,-700,35,87,9,6030,25%,455,10,2%,110,24%,165,12%,16%
COA,89274,2%,62,62,97,536,34,667,216,248400,349,174,8,80,424,63,1412,98840,671,1677,647,433490,50%,112026,71316,63%,2033,1%,1254,12%,16%
DTP,966,6%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,25%,190,2,1%,56,29%,197,12%,16%
FDN,1080,3%,6,6,4,8,2,14,3,3000,0,0,0,0,0,0,-16,-1120,0,0,8,5360,0%,158,5,3%,38,24%,146,12%,16%
HNT,3475,4%,6,6,1,9,2,12,8,4400,0,0,0,0,0,0,-14,-980,-2,-5,0,0,0%,808,2,0%,176,21%,232,12%,16%
HYP,339,5%,2,2,3,4,0,7,0,0,17,8,0,0,0,0,-8,-560,0,0,9,6030,0%,23,3,13%,16,71%,69,12%,16%
INH,1667,4%,3,3,5,5,2,12,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,308,-0,-0%,99,32%,184,12%,16%
KST,291,2%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,39,2,5%,9,22%,135,12%,16%
LLD,6610,2%,6,6,5,10,2,17,0,0,26,13,0,0,0,0,14,980,0,0,0,0,0%,1789,3,0%,312,17%,270,12%,16%
MLB,75,3%,1,1,3,5,0,8,0,0,0,0,0,0,0,0,-10,-700,0,0,2,1340,0%,2,0,13%,2,82%,33,12%,16%
NLL,831,3%,5,5,4,9,0,13,0,0,0,0,0,0,11,1,-20,-1400,18,45,6,4020,0%,67,6,10%,39,58%,81,12%,16%
PLK,370,2%,2,2,4,4,0,8,0,0,0,0,0,0,9,1,-8,-560,11,27,9,6030,0%,25,4,18%,16,66%,67,12%,16%
SHT,891,2%,6,6,0,10,0,10,0,0,0,0,0,0,0,0,-26,-1820,0,0,0,0,0%,35,-1,-4%,29,83%,39,12%,16%
TAM,14790,3%,24,24,0,49,2,51,0,0,0,0,0,0,0,0,-132,-9240,0,0,0,0,0%,3121,-53,-1%,213,6%,211,12%,16%
TPP,14935,4%,28,28,9,9,2,20,0,0,61,30,0,0,0,0,19,1330,0,0,9,6030,0%,1674,10,0%,633,37%,112,12%,16%
TRH,9546,2%,13,13,0,33,0,33,0,0,0,0,0,0,10,1,-68,-4760,11,27,8,5360,50%,2042,20,1%,379,18%,213,12%,16%
TRI,2926,2%,5,5,3,5,2,10,0,0,0,0,0,0,52,7,-10,-700,67,167,0,0,0%,643,14,2%,164,25%,219,12%,16%
UEK,11692,7%,11,11,0,16,7,23,0,0,0,0,0,0,0,0,-29,-2030,1,2,11,7370,0%,2331,10,0%,452,19%,199,12%,16%
WGK,466,2%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,78,195,0,0,0%,81,11,13%,21,26%,174,12%,16%
AAV,113,3%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,20,2,12%,6,33%,183,12%,16%
AGC,5990,2%,6,6,7,9,10,26,0,0,57,28,0,0,0,0,76,5320,0,0,0,0,0%,3017,10,0%,174,5%,503,12%,16%
AHM,1300,2%,7,7,9,11,0,20,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,133,-1,-1%,60,45%,102,12%,16%
ARN,4292,2%,8,8,7,8,3,18,0,0,0,0,0,0,76,11,10,700,0,0,18,12060,0%,1347,22,1%,157,11%,313,12%,16%
ATL,7024,2%,4,4,5,12,5,22,102,147900,0,0,137,1370,0,0,-24,-1680,0,0,0,0,0%,2895,264,9%,118,4%,412,12%,16%
AUC,5195,2%,15,15,10,21,15,46,21,25200,21,10,0,0,0,0,105,7350,0,0,9,6030,0%,3314,69,2%,224,6%,637,12%,16%
AUF,1455,2%,5,5,1,5,3,9,0,0,36,18,0,0,0,0,-18,-1260,0,0,100,67000,0%,424,42,9%,72,17%,291,12%,16%
