filename;oil;aluminium;rubber;tungsten;steel;chromium;coal
1-Sanguineus.txt;0;0;0;0;12;0;0
10-state.txt;0;18;0;0;18;0;18
100-state.txt;0;0;0;0;0;0;0
1000-state.txt;0;0;0;0;0;0;0
1001-state.txt;0;0;0;0;0;0;0
1002-state.txt;0;0;0;5;0;0;0
1003-state.txt;0;0;0;0;0;0;0
1004-state.txt;0;0;0;10;0;0;0
1005-state.txt;0;0;0;0;0;0;0
1006-state.txt;0;0;0;0;0;0;0
1007-state.txt;0;0;0;20;10;0;0
1008-state.txt;0;0;0;0;0;0;10
1009-state.txt;0;0;0;0;0;0;10
101-state.txt;0;0;0;0;0;0;0
1010-state.txt;0;0;0;0;0;0;10
1011-state.txt;0;0;0;0;0;0;10
1012-state.txt;0;0;0;0;0;0;0
1013-state.txt;0;0;0;0;0;0;10
1014-state.txt;0;0;0;0;0;0;0
1015-state.txt;0;0;0;0;0;0;10
1016-state.txt;0;0;0;0;0;0;10
1017-state.txt;0;0;0;0;5;0;0
1018-state.txt;0;0;0;0;0;0;15
1019-state.txt;0;0;0;0;15;0;0
102-state.txt;0;0;0;0;0;0;0
1020-state.txt;0;0;0;0;0;0;0
1021-state.txt;0;0;0;0;0;0;0
1022-state.txt;0;0;0;0;0;0;0
1023-state.txt;0;0;0;0;0;0;0
1024-state.txt;0;0;0;0;0;0;0
1025-state.txt;0;0;0;0;0;0;0
1026-state.txt;0;0;0;0;0;0;0
1027-state.txt;0;0;0;0;0;0;0
1028-state.txt;0;0;0;0;10;0;3
1029-state.txt;0;0;0;0;12;0;4
103-state.txt;0;0;0;0;0;0;0
1030-state.txt;0;0;20;0;0;0;0
1031-state.txt;0;0;10;0;0;0;0
1032-state.txt;0;0;0;0;0;0;0
1033-state.txt;0;0;5;5;0;0;0
1034-state.txt;0;0;10;5;0;0;0
1035-state.txt;0;0;0;0;10;0;15
1036-state.txt;0;0;0;5;0;0;0
1037-state.txt;0;0;0;0;10;0;20
1038-state.txt;0;0;0;0;8;0;0
1039-state.txt;0;0;0;0;0;0;0
