Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,3229,0,0,2%,7,7,7,1,0,5,10,2,17,17,17,0,0,0,0,0,0,0,23,3,-20,-1000,39,97,0,0,0%,1310,31,2%,324,24%,405,28%,38%
BHK,5871,0,0,4%,14,14,14,1,1,17,10,3,30,32,32,0,5,5750,0,0,0,0,101,15,3,150,67,167,81,54270,0%,2517,237,9%,588,23%,428,28%,38%
DOO,1117,0,0,3%,7,7,7,1,0,1,5,0,6,9,9,0,7,5950,0,0,0,0,0,0,-12,-600,0,0,11,7370,0%,154,23,15%,99,64%,137,28%,38%
DTP,1143,0,0,4%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,468,11,2%,143,30%,409,28%,38%
FDN,1286,0,0,5%,6,7,6,1,0,4,9,4,17,17,17,0,4,4600,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,737,26,3%,120,16%,573,28%,38%
HNT,3744,0,0,2%,4,7,4,1,0,1,6,3,10,12,12,0,8,8000,0,0,0,0,0,0,32,1600,0,0,0,0,25%,1955,19,1%,443,22%,522,28%,38%
HYP,397,0,0,3%,2,2,2,1,0,3,7,0,10,10,10,0,0,0,20,10,0,0,0,0,-14,-700,0,0,11,7370,0%,72,16,22%,47,64%,183,28%,38%
INH,1986,0,0,4%,3,6,3,1,1,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,807,11,1%,255,31%,406,28%,38%
KST,339,0,0,2%,2,2,2,1,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,99,-1,-1%,26,26%,294,28%,38%
LLD,7913,0,0,5%,6,6,6,1,0,9,22,2,33,33,33,0,0,0,35,17,0,0,0,0,2,100,0,0,0,0,0%,4937,8,0%,795,16%,623,28%,38%
