Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2850,0,0,2%,7,7,7,1,0,3,16,2,21,15,15,0,0,0,0,0,0,0,20,3,-20,-1000,35,87,0,0,75%,1079,39,3%,278,25%,378,16%,21%
BHK,5126,0,0,4%,14,14,14,1,1,5,28,3,36,30,30,0,4,2200,0,0,0,0,84,12,-18,-900,52,130,47,31490,75%,2466,325,13%,499,20%,481,16%,21%
COA,23574,0,0,9%,9,31,11,0,0,27,42,14,83,85,72,0,57,91200,247,123,0,0,0,0,333,16650,27,67,391,261970,0%,15709,3030,19%,1218,7%,763,16%,21%
DOO,987,0,0,3%,7,7,7,1,0,1,5,0,6,9,9,0,6,4200,0,0,0,0,0,0,-12,-600,0,0,0,0,75%,111,6,6%,85,77%,112,16%,21%
DTP,999,0,0,4%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,363,-0,-0%,122,33%,363,16%,21%
FDN,1130,0,0,5%,6,7,6,1,0,4,8,4,16,16,16,0,4,2800,0,0,0,0,0,0,-16,-800,0,0,0,0,75%,574,4,0%,102,17%,507,16%,21%
HNT,3273,0,0,2%,4,7,4,1,0,1,5,3,9,12,12,0,7,4900,0,0,0,0,0,0,27,1350,0,0,0,0,25%,1626,11,0%,377,23%,496,16%,21%
HYP,351,0,0,3%,2,2,2,1,0,3,6,0,9,9,9,0,0,0,17,8,0,0,0,0,-12,-600,0,0,0,0,25%,45,0,1%,40,88%,129,16%,21%
INH,1720,0,0,4%,3,6,3,1,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,633,-0,-0%,215,34%,368,16%,21%
KST,301,0,0,2%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,78,-0,-1%,22,29%,259,16%,21%
LLD,6880,0,0,4%,6,6,6,1,0,4,21,2,27,26,26,0,0,0,25,12,0,0,0,0,-1,-50,0,0,0,0,75%,4254,6,0%,673,15%,618,16%,21%
MLB,78,0,0,3%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,2,1340,75%,8,1,18%,6,78%,110,16%,21%
MTR,1845,0,0,2%,5,8,5,1,0,4,8,3,15,15,15,0,0,0,0,0,0,0,0,0,-16,-800,0,0,0,0,25%,927,-1,-0%,189,20%,502,16%,21%
NLL,265,0,0,4%,2,16,2,1,0,9,7,0,16,16,11,0,0,0,8,4,0,0,0,0,6,300,-2,-5,17,11390,25%,51,24,48%,23,45%,192,16%,21%
OAK,60872,0,0,8%,39,39,37,0,0,32,177,17,226,201,201,0,78,78000,106,53,5,50,111,16,843,42150,288,720,214,143380,25%,56279,14187,25%,2635,4%,903,16%,21%
PLK,381,0,0,4%,2,4,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,9,1,-8,-400,11,27,0,0,25%,52,6,11%,42,79%,138,16%,21%
SHT,696,0,0,2%,4,7,4,1,0,5,10,0,15,14,14,0,10,5500,0,0,0,0,0,0,-18,-900,0,0,0,0,75%,79,12,15%,56,71%,114,16%,21%
TAM,15531,0,0,3%,24,24,24,1,0,7,55,2,64,63,63,0,0,0,0,0,0,0,113,16,-42,-2100,0,0,0,0,25%,9311,168,1%,407,4%,599,16%,21%
TPD,601,0,0,5%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,16,2,-8,-400,26,65,7,4690,25%,101,20,20%,64,64%,168,16%,21%
TPP,15587,0,0,4%,28,28,28,1,1,9,19,2,30,25,23,0,0,0,60,30,0,0,0,0,12,600,0,0,0,0,75%,3143,15,0%,1449,46%,201,16%,21%
TRH,9740,0,0,5%,12,29,12,1,1,5,12,0,17,19,19,0,8,4400,0,0,0,0,48,7,84,4200,86,215,6,4020,0%,2856,136,4%,746,26%,293,16%,21%
TRI,3021,0,0,2%,5,7,5,1,0,3,9,3,15,12,12,0,0,0,0,0,0,0,50,7,-12,-600,84,210,0,0,25%,1580,69,4%,358,22%,523,16%,21%
UEK,12235,0,0,3%,11,21,11,1,0,4,9,5,18,18,18,0,0,0,0,0,0,0,0,0,1,50,2,5,14,9380,0%,4303,27,0%,923,21%,351,16%,21%
WGK,486,0,0,2%,4,4,4,1,0,4,14,2,20,18,18,0,0,0,0,0,0,0,0,0,-24,-1200,83,207,0,0,75%,231,64,27%,51,22%,475,16%,21%
AAV,116,0,0,0%,1,1,1,1,0,6,5,2,13,13,10,0,0,0,0,0,0,0,0,0,5,250,-2,-5,0,0,25%,38,-0,-1%,14,38%,328,16%,21%
AGC,6278,0,0,2%,6,6,6,1,0,7,18,14,39,33,32,0,0,0,60,30,0,0,0,0,84,4200,0,0,0,0,25%,6839,28,0%,355,5%,1089,16%,21%
AHM,1345,0,0,6%,7,7,7,1,0,8,13,0,21,22,22,0,0,0,0,0,0,0,0,0,-28,-1400,0,0,0,0,50%,232,-4,-1%,137,59%,172,16%,21%
ARN,4459,0,0,2%,8,14,8,1,0,7,15,10,32,25,25,0,0,0,0,0,0,0,73,10,8,400,0,0,20,13400,75%,4185,88,2%,341,8%,938,16%,21%
ATL,7344,0,0,3%,4,4,4,1,0,5,48,14,67,44,43,0,147,191100,0,0,196,1960,0,0,-50,-2500,0,0,0,0,70%,9631,1741,18%,238,2%,1311,16%,21%
AUC,5392,0,0,3%,15,15,15,1,0,8,43,13,64,54,53,0,24,24000,24,12,0,0,0,0,78,3900,0,0,0,0,25%,6325,223,3%,483,7%,1172,16%,21%
AUF,1508,0,0,2%,5,5,5,1,0,1,12,3,16,17,16,0,0,0,39,19,0,0,0,0,-18,-900,0,0,99,66330,75%,1012,204,20%,159,15%,671,16%,21%
BTR,20251,0,0,2%,25,25,25,1,0,8,46,5,59,57,57,0,32,32000,0,0,0,0,58,8,-15,-750,0,0,78,52260,25%,6130,783,12%,1931,31%,302,16%,21%
CUL,164,0,0,4%,1,3,1,1,0,4,7,0,11,11,11,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,4,-1,-34%,5,134%,26,16%,21%
ETV,389,0,0,2%,1,1,1,1,0,3,8,3,14,13,13,0,84,84000,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,393,192,48%,55,14%,1010,16%,21%
FLU,330,0,0,6%,2,2,2,1,0,4,10,0,14,14,14,0,0,0,0,0,0,0,0,0,-20,-1000,0,0,0,0,25%,26,-2,-9%,26,101%,79,16%,21%
FRO,565,0,0,3%,3,3,3,1,0,4,18,0,22,22,22,0,0,0,0,0,0,0,0,0,-36,-1800,0,0,0,0,75%,66,-7,-10%,61,93%,117,16%,21%
JIN,665,0,0,6%,1,1,1,1,0,5,9,0,14,14,14,0,0,0,0,0,0,0,8,1,-3,-150,0,0,0,0,0%,120,2,2%,87,73%,180,16%,21%
KHM,7589,0,0,5%,13,13,13,1,0,7,16,0,23,27,27,0,0,0,0,0,0,0,0,0,21,1050,0,0,63,42210,75%,2609,171,6%,685,26%,343,16%,21%
KKV,585,0,0,4%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,213,-0,-0%,74,34%,364,16%,21%
KSA,5528,0,0,3%,10,10,10,1,0,6,10,9,25,27,27,0,14,9800,14,7,42,420,0,0,26,1300,0,0,0,0,25%,4444,32,0%,578,13%,803,16%,21%
LNV,391,0,0,2%,1,1,1,1,0,3,5,2,10,10,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,135,-0,-0%,49,36%,345,16%,21%
LOC,117,0,0,4%,1,1,1,1,1,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,13,-0,-4%,14,101%,118,16%,21%
MES,942,0,0,3%,1,1,1,1,0,4,6,2,12,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,64,42880,25%,479,85,17%,134,27%,508,16%,21%
