Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2472,0,0,0%,7,7,7,0,0,1,3,2,6,6,6,0,0,0,0,0,0,0,8,1,-6,-300,14,35,0,0,50%,655,7,1%,231,35%,265,1%,2%
BHK,4420,0,0,3%,14,14,14,0,0,4,9,1,14,15,15,0,1,550,0,0,0,0,29,4,-10,-500,17,42,17,11390,50%,949,50,5%,397,41%,214,1%,2%
COA,21624,0,0,2%,9,31,11,0,0,21,24,5,50,53,46,0,27,22950,131,65,0,0,0,0,219,10950,19,47,189,126630,0%,7769,1018,13%,1007,12%,411,1%,2%
DOO,858,0,0,0%,7,7,7,0,0,0,1,0,1,2,2,0,2,1100,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,76,1,1%,69,91%,88,1%,2%
DTP,865,0,0,0%,2,2,2,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,121,-0,-0%,97,80%,139,1%,2%
FDN,975,0,0,0%,6,7,6,0,0,2,5,4,11,11,11,0,1,550,0,0,0,0,0,0,-10,-500,0,0,0,0,50%,353,0,0%,82,23%,362,1%,2%
HNT,2828,0,0,0%,4,7,4,0,0,0,1,2,3,4,4,0,2,1100,0,0,0,0,0,0,6,300,-2,-5,0,0,50%,687,1,0%,301,43%,243,1%,2%
HYP,305,0,0,0%,2,2,2,0,0,1,2,0,3,3,3,0,0,0,7,3,0,0,0,0,-4,-200,0,0,0,0,50%,33,0,0%,31,92%,109,1%,2%
INH,1476,0,0,0%,3,6,3,0,0,3,1,0,4,4,4,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,178,-0,-0%,164,91%,121,1%,2%
KST,261,0,0,0%,2,2,2,0,0,2,3,0,5,5,5,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,17,-0,-2%,17,98%,68,1%,2%
LLD,5899,0,0,0%,6,6,6,0,0,2,3,2,7,7,7,0,0,0,7,3,0,0,0,0,4,200,0,0,0,0,50%,1204,0,0%,484,40%,204,1%,2%
MLB,68,0,0,0%,1,1,1,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,1,670,50%,5,0,11%,5,90%,84,1%,2%
MTR,1594,0,0,0%,5,8,5,0,0,1,3,1,5,5,5,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,345,-0,-0%,151,43%,216,1%,2%
NLL,231,0,0,1%,2,16,2,0,0,2,3,0,5,5,5,0,0,0,3,1,0,0,0,0,-5,-250,0,0,5,3350,50%,22,5,23%,17,77%,95,1%,2%
OAK,55793,0,0,1%,39,39,37,0,0,19,168,15,202,163,163,0,62,24800,78,39,0,0,88,13,638,31900,224,560,149,99830,50%,30954,7399,23%,2304,7%,542,1%,2%
PLK,330,0,0,1%,2,4,2,0,0,3,2,0,5,5,5,0,0,0,0,0,0,0,3,0,-4,-200,3,7,0,0,50%,35,1,4%,32,91%,106,1%,2%
SHT,605,0,0,0%,4,7,4,0,0,2,3,0,5,5,5,0,3,1650,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,51,2,4%,45,89%,84,1%,2%
TAM,13210,0,0,3%,24,24,24,0,0,4,24,2,30,27,27,0,0,0,0,0,0,0,39,5,-29,-1450,0,0,0,0,50%,2203,22,1%,320,14%,166,1%,2%
TPD,519,0,0,0%,3,3,3,0,0,1,1,0,2,3,3,0,0,0,0,0,0,0,5,0,-4,-200,8,20,2,1340,50%,60,4,8%,51,85%,116,1%,2%
TPP,13183,0,0,4%,28,28,28,0,0,6,4,0,10,9,7,0,0,0,22,11,0,0,0,0,5,250,-4,-10,0,0,50%,1625,0,0%,1172,72%,123,1%,2%
TRH,6427,0,0,2%,4,11,4,0,0,3,10,0,13,13,13,0,6,3300,0,0,0,0,24,3,60,3000,40,100,0,0,0%,1771,53,2%,417,23%,275,1%,2%
TRI,2608,0,0,0%,5,7,5,0,0,2,3,0,5,4,4,0,0,0,0,0,0,0,17,2,-4,-200,22,55,0,0,50%,397,12,3%,287,72%,152,1%,2%
UEK,12765,0,0,2%,19,21,19,0,0,4,8,5,17,17,17,0,0,0,0,0,0,0,5,0,-7,-350,14,35,13,8710,25%,3157,30,0%,975,30%,247,1%,2%
WGK,420,0,0,0%,4,4,4,0,0,2,4,0,6,6,6,0,0,0,0,0,0,0,0,0,-8,-400,31,77,0,0,50%,56,12,22%,41,74%,134,1%,2%
AAV,101,0,0,0%,1,1,1,0,0,0,2,2,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,26,-0,-1%,11,42%,262,1%,2%
AGC,5345,0,0,1%,6,6,6,0,0,6,10,5,21,17,17,0,0,0,25,12,0,0,0,0,30,1500,0,0,0,0,50%,2515,7,0%,280,11%,470,1%,2%
AHM,1166,0,0,2%,7,7,7,0,0,6,8,0,14,15,15,0,0,0,0,0,0,0,0,0,-18,-900,0,0,0,0,25%,156,-2,-1%,112,71%,134,1%,2%
ARN,3796,0,0,0%,8,14,8,0,0,7,6,1,14,13,13,0,0,0,0,0,0,0,29,4,0,0,0,0,7,4690,50%,985,19,1%,262,26%,259,1%,2%
ATL,6254,0,0,1%,4,4,4,0,0,4,13,3,20,14,14,0,45,24750,0,0,60,600,0,0,-14,-700,0,0,0,0,50%,2484,83,3%,184,7%,397,1%,2%
AUC,4610,0,0,1%,15,15,15,0,0,3,17,5,25,20,20,0,9,4950,9,4,0,0,0,0,24,1200,0,0,0,0,50%,2348,25,1%,386,16%,509,1%,2%
AUF,1307,0,0,1%,5,5,5,0,0,1,4,1,6,10,10,0,0,0,14,7,0,0,0,0,-10,-500,0,0,35,23450,50%,326,41,12%,127,39%,249,1%,2%
BTR,17265,0,0,3%,25,25,25,0,0,7,13,3,23,21,21,0,12,6600,0,0,0,0,20,3,1,50,0,0,29,19430,50%,3120,95,3%,1568,50%,180,1%,2%
CPF,330,0,0,3%,1,4,1,0,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,5,250,0,0,0,0,0%,39,0,0%,36,93%,119,1%,2%
CUL,142,0,0,3%,1,3,1,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,4,-0,-6%,4,104%,29,1%,2%
ETV,340,0,0,0%,1,1,1,0,0,1,8,0,9,4,4,0,20,11000,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,62,25,40%,38,61%,183,1%,2%
FLU,285,0,0,3%,2,2,2,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,21,-0,-2%,20,97%,73,1%,2%
FRO,488,0,0,3%,3,3,3,0,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,53,-0,-1%,48,92%,108,1%,2%
JIN,577,0,0,2%,1,1,1,0,0,1,4,0,5,5,5,0,0,0,0,0,0,0,3,0,-2,-100,0,0,0,0,25%,87,0,0%,70,80%,151,1%,2%
KHM,6488,0,0,3%,13,13,13,0,0,5,9,0,14,19,19,0,0,0,0,0,0,0,0,0,-5,-250,0,0,23,15410,50%,1469,39,2%,556,37%,226,1%,2%
KKV,509,0,0,0%,1,1,1,0,0,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,65,-0,-0%,57,86%,129,1%,2%
KSA,4173,0,0,3%,8,10,8,0,0,4,7,6,17,16,16,0,3,1650,6,3,18,180,0,0,7,350,0,0,0,0,50%,2353,5,0%,416,17%,564,1%,2%
LNV,340,0,0,0%,1,1,1,0,0,0,2,2,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,93,-0,-0%,38,40%,274,1%,2%
LOC,101,0,0,2%,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,11,0,0%,10,98%,108,1%,2%
MES,819,0,0,3%,1,1,1,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-100,0,0,19,12730,50%,127,16,12%,91,72%,155,1%,2%
MJU,33203,0,0,2%,21,22,21,0,0,11,26,7,44,42,42,0,6,4200,24,12,10,100,22,3,15,750,0,0,43,28810,60%,7218,221,3%,1842,25%,217,1%,2%
MNG,2864,0,0,3%,7,7,7,0,0,2,4,1,7,7,7,0,3,1650,0,0,0,0,0,0,7,350,0,0,0,0,50%,487,3,0%,203,41%,170,1%,2%
MRV,152,0,0,0%,1,1,1,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,17,-0,-1%,17,97%,115,1%,2%
OOD,7231,0,0,3%,1,1,1,0,0,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,810,-0,-0%,552,68%,112,1%,2%
PER,245,0,0,2%,1,1,1,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-3,-150,0,0,0,0,25%,28,-0,-0%,27,95%,116,1%,2%
QDT,2345,0,0,3%,15,16,15,0,0,4,7,5,16,18,18,0,23,12650,3,1,0,0,0,0,28,1400,0,0,0,0,25%,1110,30,2%,163,14%,473,1%,2%
QUE,3122,0,0,2%,12,12,12,0,0,4,9,3,16,19,19,0,0,0,0,0,0,0,0,0,-20,-1000,0,0,0,0,25%,1245,-2,-0%,292,23%,398,1%,2%
