Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2663,0,0,2%,7,7,7,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,19,2,-12,-600,32,80,0,0,75%,898,21,2%,255,28%,337,8%,11%
BHK,4756,0,0,4%,14,14,14,1,0,5,14,3,22,20,20,0,3,1650,0,0,0,0,73,10,-2,-100,45,112,41,27470,75%,2065,173,8%,455,22%,434,8%,11%
COA,22597,0,0,4%,9,31,11,0,0,26,27,14,67,69,57,0,35,45500,187,93,0,0,0,0,310,15500,23,57,279,186930,0%,11769,1671,14%,1114,9%,596,8%,11%
DOO,923,0,0,3%,7,7,7,1,0,1,4,0,5,8,8,0,5,2750,0,0,0,0,0,0,-10,-500,0,0,0,0,75%,97,3,4%,78,80%,105,8%,11%
DTP,934,0,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,307,-0,-0%,112,36%,329,8%,11%
FDN,1053,0,0,2%,6,7,6,1,0,4,8,4,16,16,16,0,4,2200,0,0,0,0,0,0,-16,-800,0,0,0,0,75%,482,3,0%,94,19%,457,8%,11%
HNT,3050,0,0,2%,4,7,4,1,0,1,5,2,8,11,11,0,6,4200,0,0,0,0,0,0,24,1200,0,0,0,0,25%,1165,10,0%,345,29%,382,8%,11%
HYP,328,0,0,3%,2,2,2,1,0,3,5,0,8,8,8,0,0,0,16,8,0,0,0,0,-10,-500,0,0,0,0,25%,41,0,1%,37,89%,125,8%,11%
INH,1593,0,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,538,-0,-0%,196,36%,337,8%,11%
KST,281,0,0,2%,2,2,2,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,20,-0,-4%,20,99%,71,8%,11%
