Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,3108,0,0,3%,7,7,7,1,0,5,15,2,22,17,17,0,0,0,0,0,0,0,23,3,-20,-1000,39,97,0,0,75%,1250,42,3%,310,24%,402,25%,33%
BHK,5647,0,0,4%,14,14,14,1,1,16,11,3,30,32,32,0,5,4250,0,0,0,0,101,15,1,50,67,167,81,54270,0%,2458,244,9%,561,22%,435,25%,33%
COA,25009,0,0,4%,9,31,11,0,0,27,85,25,137,139,121,0,68,125800,343,171,8,80,0,0,394,19700,37,92,561,375870,0%,28033,7843,27%,1366,4%,1283,25%,33%
DOO,1078,0,0,3%,7,7,7,1,0,1,5,0,6,9,9,0,7,5250,0,0,0,0,0,0,-12,-600,0,0,0,0,75%,131,8,6%,95,72%,121,25%,33%
DTP,1099,0,0,4%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,10,6700,75%,440,11,2%,136,31%,400,25%,33%
FDN,1235,0,0,6%,6,7,6,1,0,4,9,4,17,17,17,0,4,3000,0,0,0,0,0,0,-18,-900,0,0,0,0,75%,672,5,0%,114,17%,544,25%,33%
HNT,3598,0,0,2%,4,7,4,1,0,1,5,3,9,12,12,0,8,6000,0,0,0,0,0,0,32,1600,0,0,0,0,25%,1880,14,0%,423,22%,522,25%,33%
HYP,383,0,0,3%,2,2,2,1,0,3,7,0,10,10,10,0,0,0,20,10,0,0,0,0,-14,-700,0,0,0,0,0%,51,0,1%,45,87%,135,25%,33%
INH,1900,0,0,4%,3,6,3,1,1,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,745,-0,-0%,243,32%,392,25%,33%
KST,328,0,0,2%,2,2,2,1,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,25%,93,-1,-1%,25,27%,283,25%,33%
LLD,7595,0,0,5%,6,6,6,1,0,8,22,2,32,32,32,0,0,0,32,16,0,0,0,0,1,50,0,0,0,0,0%,4648,7,0%,758,16%,612,25%,33%
MLB,85,0,0,3%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,13,8710,75%,24,14,58%,7,30%,286,25%,33%
MTR,2019,0,0,2%,5,8,5,1,0,4,9,3,16,16,16,0,0,0,0,0,0,0,0,0,-18,-900,0,0,0,0,25%,1106,-2,-0%,211,19%,547,25%,33%
NLL,289,0,0,4%,2,16,2,1,1,9,7,0,16,16,11,0,0,0,9,4,0,0,0,0,8,400,-2,-5,19,12730,0%,58,27,46%,25,43%,202,25%,33%
OAK,64523,0,0,8%,39,39,37,0,0,33,282,39,354,325,325,0,89,120150,141,70,22,220,149,22,863,43150,334,835,244,163480,25%,86457,25321,29%,2863,3%,1309,25%,33%
PLK,420,0,0,4%,2,4,2,1,1,5,4,0,9,9,9,0,0,0,0,0,0,0,10,1,-8,-400,12,30,0,0,0%,60,6,11%,47,78%,143,25%,33%
SHT,758,0,0,2%,4,7,4,1,0,5,9,0,14,14,14,0,11,8250,0,0,0,0,0,0,-18,-900,0,0,0,0,0%,95,17,18%,63,66%,125,25%,33%
TAM,17311,0,0,2%,24,24,24,1,0,19,61,2,82,82,82,0,0,0,0,0,0,0,145,21,-51,-2550,0,0,0,0,0%,12633,236,1%,486,3%,729,25%,33%
TPD,658,0,0,5%,3,3,3,1,0,3,4,0,7,8,8,0,0,0,0,0,0,0,22,3,-8,-400,36,90,8,5360,25%,129,29,22%,75,58%,196,25%,33%
TPP,17401,0,0,4%,28,28,28,1,1,15,16,2,33,33,31,0,0,0,75,37,0,0,0,0,18,900,0,0,0,0,0%,3490,16,0%,1650,47%,200,25%,33%
TRH,10450,0,0,3%,12,29,12,0,0,7,27,0,34,26,26,0,11,13200,0,0,0,0,66,9,92,4600,118,295,8,5360,40%,3554,355,9%,818,23%,340,25%,33%
TRI,0,0,0,2%,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,400,0,0%,400,100%,121,25%,33%
UEK,13482,0,0,2%,11,21,11,1,0,5,8,5,18,18,18,0,0,0,0,0,0,0,0,0,11,550,2,5,31,20770,0%,4643,57,1%,1056,22%,344,25%,33%
WGK,531,0,0,3%,4,4,4,1,0,7,18,2,27,24,24,0,0,0,0,0,0,0,0,0,-30,-1500,96,240,0,0,75%,291,88,30%,57,19%,547,25%,33%
AAV,127,0,0,1%,1,1,1,0,0,6,5,2,13,13,10,0,0,0,0,0,0,0,0,0,9,450,-2,-5,0,0,25%,45,-0,-0%,16,36%,354,25%,33%
AGC,6960,0,0,3%,6,6,6,1,0,15,12,15,42,42,41,0,0,0,64,32,0,0,0,0,91,4550,0,0,0,0,0%,7929,22,0%,401,5%,1139,25%,33%
AHM,1470,0,0,6%,7,7,7,1,0,11,12,0,23,24,24,0,0,0,0,0,0,0,0,0,-26,-1300,0,0,0,0,50%,261,-3,-1%,153,58%,178,25%,33%
ARN,4965,0,0,3%,8,14,8,1,0,10,6,10,26,26,26,0,0,0,0,0,0,0,88,13,17,850,0,0,22,14740,0%,4533,58,1%,388,8%,912,25%,33%
ATL,8142,0,0,2%,4,4,4,1,0,11,24,14,49,49,48,0,155,217000,0,0,208,2080,0,0,-48,-2400,0,0,11,7370,-5%,9629,1103,11%,270,2%,1182,25%,33%
AUC,5975,0,0,2%,15,15,15,1,0,29,49,13,91,82,81,0,25,32500,26,13,0,0,0,0,106,5300,0,0,0,0,0%,7148,320,4%,580,8%,1196,25%,33%
AUF,1652,0,0,2%,5,5,5,1,0,1,14,3,18,18,17,0,0,0,42,21,0,0,0,0,-18,-900,0,0,105,70350,75%,1193,239,20%,178,14%,722,25%,33%
BTR,22370,0,0,2%,25,25,25,1,0,20,35,5,60,60,60,0,37,51800,0,0,0,0,66,9,18,900,0,0,89,59630,0%,6631,793,11%,2175,32%,296,25%,33%
CUL,181,0,0,4%,1,3,1,1,1,4,7,0,11,11,11,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,5,-1,-28%,6,130%,28,25%,33%
ETV,424,0,0,2%,1,1,1,1,0,3,7,6,16,16,16,0,95,133000,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,676,278,41%,61,9%,1593,25%,33%
