1;radar_station;3315.00;9.80;1201.00;3.57;0
1;air_base;3314.00;9.80;1198.00;5.23;0
1;anti_air_building;3311.00;9.80;1198.00;1.61;0
1;anti_air_building;3306.00;9.80;1189.00;4.28;0
1;anti_air_building;3304.00;9.90;1211.00;1.01;0
1;industrial_complex;3302.00;9.90;1211.00;5.13;0
1;industrial_complex;3302.00;9.90;1194.00;0.06;0
1;industrial_complex;3313.00;9.85;1207.00;4.18;0
1;industrial_complex;3315.00;9.90;1206.00;5.74;0
1;industrial_complex;3317.00;9.90;1192.00;2.12;0
1;industrial_complex;3306.00;9.93;1205.00;4.79;0
1;arms_factory;3324.00;9.90;1195.00;1.68;0
1;arms_factory;3309.00;9.90;1196.00;5.81;0
1;arms_factory;3326.00;9.90;1192.00;0.74;0
1;arms_factory;3301.00;9.98;1210.00;3.75;0
1;arms_factory;3310.00;9.80;1209.00;0.13;0
1;arms_factory;3319.00;9.90;1184.00;2.80;0
1;dockyard;3317.00;9.90;1204.00;-4.12;0
1;synthetic_refinery;3317.00;9.88;1203.00;2.19;0
1;fuel_silo;3308.00;9.90;1203.00;4.86;0
1;stronghold_network;3306.00;9.95;1203.00;1.24;0
1;supply_node;3311.00;9.82;1193.00;3.14;0
1;supply_node;3313.00;9.80;1213.00;0.90;0
1;supply_node;3304.00;9.90;1211.00;3.84;0
1;supply_node;3314.00;9.90;1205.00;5.32;0
1;supply_node;3305.00;9.93;1201.00;3.07;0
1;supply_node;3319.00;9.85;1197.00;4.55;0
1;supply_node;3324.00;9.90;1191.00;1.21;0
1;supply_node;3303.00;9.90;1191.00;5.25;0
1;supply_node;3317.00;9.98;1186.00;0.44;0
1;supply_node;3327.00;9.90;1184.00;3.37;0
1;bunker;3320.00;9.90;1194.00;0.20;0
1;bunker;3309.00;9.90;1197.00;2.87;0
1;bunker;3308.00;9.88;1208.00;4.42;0
1;bunker;3312.00;9.85;1207.00;2.26;0
1;bunker;3324.00;9.90;1183.00;3.47;0
1;bunker;3321.00;9.90;1190.00;1.31;0
1;bunker;3310.00;9.82;1200.00;2.87;0
1;bunker;3311.00;9.80;1210.00;5.54;0
1;bunker;3306.00;9.90;1193.00;3.37;0
1;bunker;3316.00;9.93;1190.00;6.04;0
1;coastal_bunker;3321.00;9.57;1202.00;-3.93;0
1;coastal_bunker;3312.00;9.57;1214.00;-3.61;0
1;coastal_bunker;3316.00;9.88;1207.00;-4.12;0
1;coastal_bunker;3332.00;9.82;1186.00;-4.51;0
1;coastal_bunker;3330.00;9.85;1188.00;1.11;0
1;coastal_bunker;3310.00;9.80;1216.00;-4.02;0
1;nuclear_reactor_spawn;3322.00;9.90;1189.00;6.21;0
1;special_project_facility_spawn;3309.00;9.90;1205.00;4.05;0
1;special_project_facility_spawn;3311.00;9.80;1192.00;0.43;0
1;special_project_facility_spawn;3316.00;10.00;1184.00;3.45;0
