Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2926,0,0,2%,7,7,7,1,0,3,7,2,12,12,12,0,0,0,0,0,0,0,22,3,-14,-700,37,92,10,6700,0%,1141,39,3%,294,25%,390,17%,23%
DOO,1008,0,0,5%,7,7,7,1,0,2,5,0,7,8,8,0,7,4900,0,0,0,0,0,0,-10,-500,0,0,0,0,0%,110,7,7%,87,78%,110,17%,23%
DTP,1022,0,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,8,5360,0%,377,8,2%,125,33%,368,17%,23%
FDN,1142,0,0,3%,6,7,6,1,0,4,8,4,16,16,16,0,4,2200,0,0,0,0,0,0,-16,-800,0,0,10,6700,0%,595,18,3%,104,17%,520,17%,23%
HYP,361,0,0,5%,2,2,2,1,0,3,4,0,7,7,7,0,0,0,18,9,0,0,0,0,-8,-400,0,0,0,0,0%,45,0,1%,41,91%,126,17%,23%
INH,1767,0,0,4%,3,6,3,1,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,590,-0,-0%,222,37%,334,17%,23%
KST,304,0,0,5%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,9,6030,0%,93,10,10%,23,24%,308,17%,23%
LLD,7039,0,0,2%,6,6,6,1,0,6,5,2,13,13,13,0,0,0,23,11,0,0,0,0,20,1000,0,0,0,0,0%,1866,4,0%,627,33%,265,17%,23%
MLB,80,0,0,4%,1,1,1,1,0,3,6,0,9,9,9,0,0,0,0,0,0,0,0,0,-12,-600,0,0,10,6700,0%,20,11,58%,7,35%,252,17%,23%
MTR,1892,0,0,5%,5,8,5,1,0,4,7,3,14,14,14,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,926,-1,-0%,197,21%,489,17%,23%
NLL,273,0,0,4%,2,16,2,1,0,9,6,0,15,15,10,0,0,0,8,4,0,0,0,0,9,450,-2,-5,16,10720,0%,47,21,45%,22,48%,173,17%,23%
